ConfigName,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),Status
BASELINE_OPT3,85,baseline,baseline,626848,17.018700,13.889514,Success
BASELINE_OPT3,86,baseline,baseline,626848,16.980700,13.891793,Success
BASELINE_OPT3,87,baseline,baseline,626848,16.950700,12.811748,Success
BASELINE_OPT3,88,baseline,baseline,626848,16.727200,12.876842,Success
BASELINE_OPT3,89,baseline,baseline,626848,16.750100,14.439935,Success
BASELINE_OPT3,90,baseline,baseline,626848,16.649300,14.131596,Success
BASELINE_OPT3,91,baseline,baseline,626848,16.856100,13.208394,Success
BASELINE_OPT3,92,baseline,baseline,626848,16.808400,12.898861,Success
BASELINE_OPT3,93,baseline,baseline,626848,16.626500,13.801216,Success
BASELINE_OPT3,94,baseline,baseline,626848,16.729200,14.023485,Success
BASELINE_OPT3,95,baseline,baseline,626848,18.317600,14.010025,Success
BASELINE_OPT3,96,baseline,baseline,626848,16.776600,13.247069,Success
BASELINE_OPT3,97,baseline,baseline,626848,16.883500,14.156899,Success
BASELINE_OPT3,98,baseline,baseline,626848,16.910200,12.808320,Success
BASELINE_OPT3,99,baseline,baseline,626848,16.705100,13.594135,Success
BASELINE_OPT3,100,baseline,baseline,626848,16.458000,13.368590,Success
BASELINE_OPT3,101,baseline,baseline,626848,16.864700,13.520340,Success
BASELINE_OPT3,102,baseline,baseline,626848,16.550000,13.087745,Success
BASELINE_OPT3,103,baseline,baseline,626848,16.598500,14.039973,Success
BASELINE_OPT3,104,baseline,baseline,626848,17.019300,13.344834,Success
BASELINE_OPT3,105,baseline,baseline,626848,16.791800,13.253909,Success
BASELINE_OPT3,106,baseline,baseline,626848,17.077900,13.311234,Success
BASELINE_OPT3,107,baseline,baseline,626848,16.601400,12.933840,Success
BASELINE_OPT3,108,baseline,baseline,626848,16.779400,14.009481,Success
BASELINE_OPT3,109,baseline,baseline,626848,16.949200,14.916906,Success
BASELINE_OPT3,110,baseline,baseline,626848,16.710300,14.922780,Success
BASELINE_OPT3,111,baseline,baseline,626848,16.664200,14.115594,Success
BASELINE_OPT3,112,baseline,baseline,626848,16.787900,15.134509,Success
BASELINE_OPT3,113,baseline,baseline,626848,16.861900,13.178709,Success
BASELINE_OPT3,114,baseline,baseline,626848,16.795900,15.155498,Success
BASELINE_OPT3,115,baseline,baseline,626848,16.750500,13.767125,Success
BASELINE_OPT3,116,baseline,baseline,626848,16.857700,12.955987,Success
BASELINE_OPT3,117,baseline,baseline,626848,16.797700,13.433279,Success
BASELINE_OPT3,118,baseline,baseline,626848,16.735000,13.450589,Success
BASELINE_OPT3,119,baseline,baseline,626848,16.667600,14.056901,Success
BASELINE_OPT3,120,baseline,baseline,626848,16.563100,13.229502,Success
BASELINE_OPT3,121,baseline,baseline,626848,16.732900,13.006549,Success
BASELINE_OPT3,122,baseline,baseline,626848,16.714300,13.624747,Success
BASELINE_OPT3,123,baseline,baseline,626848,16.782800,12.572732,Success
BASELINE_OPT3,124,baseline,baseline,626848,16.567800,12.866428,Success
BASELINE_OPT3,125,baseline,baseline,626848,16.743800,12.995821,Success
BASELINE_OPT3,126,baseline,baseline,626848,16.720500,13.229318,Success
BASELINE_OPT3,127,baseline,baseline,626848,16.688000,13.468657,Success
BASELINE_OPT3,128,baseline,baseline,626848,17.182500,12.817673,Success
BASELINE_OPT3,129,baseline,baseline,626848,16.935600,12.370985,Success
BASELINE_OPT3,130,baseline,baseline,626848,16.553800,13.884245,Success
BASELINE_OPT3,131,baseline,baseline,626848,16.801700,12.254689,Success
BASELINE_OPT3,132,baseline,baseline,626848,16.742500,13.259916,Success
BASELINE_OPT3,133,baseline,baseline,626848,16.756800,12.875995,Success
BASELINE_OPT3,134,baseline,baseline,626848,16.656700,13.026656,Success
BASELINE_OPT3,135,baseline,baseline,626848,16.780100,12.900023,Success
BASELINE_OPT3,136,baseline,baseline,626848,16.732500,12.363456,Success
BASELINE_OPT3,137,baseline,baseline,626848,16.626800,13.176660,Success
BASELINE_OPT3,138,baseline,baseline,626848,16.885000,13.900622,Success
BASELINE_OPT3,139,baseline,baseline,626848,16.457200,13.644367,Success
BASELINE_OPT3,140,baseline,baseline,626848,16.677100,13.710769,Success
BASELINE_OPT3,141,baseline,baseline,626848,16.566400,12.496688,Success
BASELINE_OPT3,142,baseline,baseline,0,0,0,BuildFailed
BASELINE_OPT3,143,baseline,baseline,626848,16.516000,12.681350,Success
BASELINE_OPT3,144,baseline,baseline,626848,16.588900,14.048351,Success
BASELINE_OPT3,145,baseline,baseline,626848,16.681800,13.800849,Success
BASELINE_OPT3,146,baseline,baseline,626848,16.700800,13.224314,Success
BASELINE_OPT3,147,baseline,baseline,626848,16.696500,13.404678,Success
BASELINE_OPT3,148,baseline,baseline,626848,16.587700,13.812757,Success
BASELINE_OPT3,149,baseline,baseline,626848,16.909300,13.091436,Success
BASELINE_OPT3,150,baseline,baseline,626848,16.651900,13.259925,Success
BASELINE_OPT3,151,baseline,baseline,626848,16.474400,16.626849,Success
BASELINE_OPT3,152,baseline,baseline,626848,16.734700,21.735424,Success
BASELINE_OPT3,153,baseline,baseline,626848,16.572700,21.504331,Success
BASELINE_OPT3,154,baseline,baseline,626848,16.569300,20.991017,Success
BASELINE_OPT3,155,baseline,baseline,626848,16.857800,14.842346,Success
BASELINE_OPT3,156,baseline,baseline,626848,16.745900,13.482956,Success
BASELINE_OPT3,157,baseline,baseline,626848,16.733700,13.665809,Success
BASELINE_OPT3,158,baseline,baseline,626848,16.576200,12.193543,Success
BASELINE_OPT3,159,baseline,baseline,626848,16.631400,13.634850,Success
BASELINE_OPT3,160,baseline,baseline,626848,16.815400,14.531567,Success
BASELINE_OPT3,161,baseline,baseline,626848,16.613900,14.728357,Success
BASELINE_OPT3,162,baseline,baseline,626848,16.733200,13.329404,Success
BASELINE_OPT3,163,baseline,baseline,0,0,0,BuildFailed
BASELINE_OPT3,164,baseline,baseline,626848,16.895400,13.285008,Success
BASELINE_OPT3,165,baseline,baseline,626848,16.469200,14.192615,Success
BASELINE_OPT3,166,baseline,baseline,626848,16.626300,13.245006,Success
BASELINE_OPT3,167,baseline,baseline,626848,16.760700,14.136705,Success
BASELINE_OPT3,168,baseline,baseline,626848,16.571300,12.988075,Success
BASELINE_OPT3,169,baseline,baseline,626848,16.593400,13.180512,Success
BASELINE_OPT3,170,baseline,baseline,626848,16.626000,14.712614,Success
BASELINE_OPT3,171,baseline,baseline,626848,16.667500,15.858700,Success
BASELINE_OPT3,172,baseline,baseline,626848,16.723700,14.390333,Success
BASELINE_OPT3,173,baseline,baseline,626848,16.543200,15.670295,Success
BASELINE_OPT3,174,baseline,baseline,626848,16.575100,13.666254,Success
BASELINE_OPT3,175,baseline,baseline,626848,16.420000,13.331526,Success
BASELINE_OPT3,176,baseline,baseline,626848,16.789800,13.611015,Success
BASELINE_OPT3,177,baseline,baseline,626848,16.583600,12.458615,Success
BASELINE_OPT3,178,baseline,baseline,626848,16.724800,13.773113,Success
BASELINE_OPT3,179,baseline,baseline,626848,16.652600,14.264405,Success
BASELINE_OPT3,180,baseline,baseline,626848,16.695500,13.958291,Success
BASELINE_OPT3,181,baseline,baseline,626848,16.982800,15.978211,Success
BASELINE_OPT3,182,baseline,baseline,626848,16.659200,14.384167,Success
BASELINE_OPT3,183,baseline,baseline,626848,16.680900,12.891347,Success
BASELINE_OPT3,184,baseline,baseline,626848,16.709300,14.621375,Success
BASELINE_OPT3,185,baseline,baseline,626848,16.866000,15.024779,Success
BASELINE_OPT3,186,baseline,baseline,626848,16.566500,12.964503,Success
BASELINE_OPT3,187,baseline,baseline,626848,16.599100,12.541818,Success
BASELINE_OPT3,188,baseline,baseline,626848,16.665000,12.909721,Success
BASELINE_OPT3,189,baseline,baseline,626848,16.865200,13.642363,Success
BASELINE_OPT3,190,baseline,baseline,626848,16.677200,13.696147,Success
BASELINE_OPT3,191,baseline,baseline,626848,16.549900,14.534306,Success
BASELINE_OPT3,192,baseline,baseline,626848,16.584200,12.670263,Success
BASELINE_OPT3,193,baseline,baseline,626848,16.967000,13.177445,Success
BASELINE_OPT3,194,baseline,baseline,626848,16.698300,13.429618,Success
BASELINE_OPT3,195,baseline,baseline,626848,16.717000,13.032372,Success
BASELINE_OPT3,196,baseline,baseline,626848,16.625900,13.010016,Success
BASELINE_OPT3,197,baseline,baseline,626848,16.848400,13.888309,Success
BASELINE_OPT3,198,baseline,baseline,626848,16.690700,13.014879,Success
BASELINE_OPT3,199,baseline,baseline,626848,16.851700,12.113887,Success
BASELINE_OPT3,200,baseline,baseline,626848,16.986400,13.038558,Success
