Variant,ConfigName,n,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_med,compile_iqr,compile_iqr_ratio,size_med
A,EXP_DBL_1443,10,2.111842,0.057459,0.027208,0.333108,0.006455,0.019378,448440
C,EXP_DBL_0092,10,3.746964,0.101879,0.027190,0.301727,0.006144,0.020363,448440
C,EXP_DBL_0818,10,3.863629,0.105025,0.027183,0.315215,0.013045,0.041384,448440
B,EXP_DBL_0485,10,4.975740,0.135197,0.027171,0.309805,0.006130,0.019787,448440
A,EXP_DBL_1226,10,2.029886,0.055119,0.027154,0.319974,0.005505,0.017205,448472
C,EXP_DBL_0547,10,3.802971,0.103214,0.027140,0.311226,0.013345,0.042879,448440
C,EXP_DBL_0876,10,3.848804,0.104322,0.027105,0.329794,0.007394,0.022420,448440
A,EXP_DBL_1295,10,1.912487,0.051745,0.027056,0.310406,0.013761,0.044332,448440
C,EXP_DBL_1190,10,3.840966,0.103855,0.027039,0.315604,0.012722,0.040310,448440
B,EXP_DBL_1454,10,5.592299,0.151022,0.027005,0.303845,0.020929,0.068881,448440
C,EXP_DBL_1527,10,3.923680,0.105956,0.027004,0.322527,0.010238,0.031743,448440
B,EXP_DBL_0547,10,4.825977,0.130301,0.027000,0.311226,0.013345,0.042879,448440
B,EXP_DBL_0812,10,4.966302,0.134061,0.026994,0.318646,0.010303,0.032334,448440
C,EXP_DBL_1126,10,3.821840,0.103090,0.026974,0.316829,0.010551,0.033302,448424
A,EXP_DBL_1481,10,2.073255,0.055908,0.026966,0.318241,0.010075,0.031658,448440
B,EXP_DBL_1122,10,4.946547,0.133117,0.026911,0.311125,0.016529,0.053127,448440
A,EXP_DBL_1614,10,2.037324,0.054813,0.026904,0.319238,0.020829,0.065246,448440
B,EXP_DBL_0123,10,4.664233,0.125368,0.026879,0.307361,0.014085,0.045826,448440
C,EXP_DBL_1127,10,3.863191,0.103765,0.026860,0.319920,0.015416,0.048187,448440
B,EXP_DBL_0722,10,4.943398,0.132716,0.026847,0.312057,0.013640,0.043710,448440
A,EXP_DBL_1332,10,1.949369,0.052312,0.026835,0.320958,0.008890,0.027698,448440
C,EXP_DBL_0410,10,3.715975,0.099580,0.026798,0.310808,0.017362,0.055861,448440
C,EXP_DBL_1341,10,3.733389,0.100032,0.026794,0.329264,0.001657,0.005032,448424
C,EXP_DBL_1651,10,3.854318,0.103216,0.026779,0.314711,0.009890,0.031426,448440
B,EXP_DBL_0402,10,4.911331,0.131440,0.026763,0.315939,0.009798,0.031012,448440
C,EXP_DBL_0897,10,3.874214,0.103683,0.026762,0.335580,0.005320,0.015853,448440
B,EXP_DBL_0195,10,4.699200,0.125557,0.026719,0.307087,0.006066,0.019753,448440
A,EXP_DBL_0704,10,2.063698,0.055136,0.026717,0.320854,0.009775,0.030466,448440
C,EXP_DBL_0992,10,3.864429,0.103218,0.026710,0.311979,0.007430,0.023816,448440
B,EXP_DBL_0911,10,4.919576,0.131315,0.026692,0.334275,0.012261,0.036679,448440
B,EXP_DBL_0320,10,4.809600,0.128284,0.026672,0.310912,0.016745,0.053858,448440
C,EXP_DBL_0267,10,3.806350,0.101522,0.026672,0.311507,0.010000,0.032102,448440
C,EXP_DBL_1579,10,3.843508,0.102315,0.026620,0.320274,0.016178,0.050513,448440
B,EXP_DBL_0112,10,4.603356,0.122528,0.026617,0.303620,0.011176,0.036809,448440
C,EXP_DBL_1581,10,3.876177,0.103073,0.026591,0.324521,0.016984,0.052336,448440
A,EXP_DBL_1513,10,2.055887,0.054650,0.026582,0.326051,0.010344,0.031725,448440
A,EXP_DBL_0546,10,2.013590,0.053496,0.026567,0.312584,0.008892,0.028447,448440
A,EXP_DBL_1156,10,2.020763,0.053684,0.026566,0.321327,0.012014,0.037389,448440
C,EXP_DBL_0885,10,3.863829,0.102632,0.026562,0.335863,0.009518,0.028339,448440
C,EXP_DBL_0929,10,3.882663,0.103126,0.026561,0.314119,0.015286,0.048663,448440
A,EXP_DBL_0757,10,2.028655,0.053879,0.026559,0.322521,0.010810,0.033517,448440
A,EXP_DBL_1515,10,2.054894,0.054452,0.026499,0.317919,0.006823,0.021461,448440
A,EXP_DBL_1500,10,2.043947,0.054109,0.026473,0.313025,0.006732,0.021506,448440
A,EXP_DBL_0283,10,1.951335,0.051634,0.026461,0.312516,0.008481,0.027138,448440
A,EXP_DBL_0986,10,2.015646,0.053331,0.026459,0.318208,0.013865,0.043572,448440
A,EXP_DBL_0980,10,2.057896,0.054438,0.026453,0.316487,0.008670,0.027394,448440
B,EXP_DBL_0418,10,4.835359,0.127574,0.026384,0.317372,0.012213,0.038482,448440
B,EXP_DBL_0386,10,4.868188,0.128436,0.026383,0.313281,0.015397,0.049148,448440
A,EXP_DBL_1282,10,1.993349,0.052556,0.026366,0.311943,0.011159,0.035773,448440
B,EXP_DBL_0283,10,4.884595,0.128722,0.026353,0.312516,0.008481,0.027138,448440
C,EXP_DBL_0671,10,3.790775,0.099874,0.026347,0.319712,0.012636,0.039523,448440
C,EXP_DBL_1303,10,3.606076,0.094961,0.026334,0.329043,0.010396,0.031595,448440
A,EXP_DBL_0663,10,1.999931,0.052666,0.026334,0.317649,0.016416,0.051680,448472
B,EXP_DBL_0586,10,4.860561,0.127982,0.026331,0.306503,0.004284,0.013977,448440
A,EXP_DBL_0998,10,2.023714,0.053280,0.026328,0.315310,0.014744,0.046760,448440
B,EXP_DBL_0486,10,5.068717,0.133442,0.026327,0.311440,0.004102,0.013171,448440
C,EXP_DBL_1178,10,3.872460,0.101765,0.026279,0.322899,0.004851,0.015023,448440
B,EXP_DBL_0981,10,4.921015,0.129257,0.026266,0.316520,0.009230,0.029161,448440
A,EXP_DBL_0982,10,2.039756,0.053557,0.026257,0.314466,0.010996,0.034967,448440
A,EXP_DBL_1565,10,2.050039,0.053806,0.026246,0.323833,0.010962,0.033851,448440
C,EXP_DBL_0946,10,3.826710,0.100413,0.026240,0.314184,0.015888,0.050569,448440
B,EXP_DBL_0455,10,4.750973,0.124647,0.026236,0.310293,0.013955,0.044974,448440
A,EXP_DBL_1033,10,2.048958,0.053729,0.026223,0.312318,0.008361,0.026771,448440
C,EXP_DBL_1413,10,4.063270,0.106548,0.026222,0.339457,0.010992,0.032381,448440
B,EXP_DBL_0272,10,4.827453,0.126530,0.026211,0.313665,0.008521,0.027166,448440
C,EXP_DBL_1316,10,3.584622,0.093891,0.026193,0.318825,0.009178,0.028787,448440
C,EXP_DBL_0921,10,3.898480,0.102068,0.026181,0.321971,0.009500,0.029506,448440
B,EXP_DBL_1659,10,4.912257,0.128538,0.026167,0.310512,0.013190,0.042478,448472
B,EXP_DBL_1329,10,6.056947,0.158468,0.026163,0.336443,0.013071,0.038851,448440
A,EXP_DBL_0898,10,2.017103,0.052681,0.026117,0.336090,0.019248,0.057270,448440
A,EXP_DBL_1248,10,2.040656,0.053277,0.026108,0.307478,0.023804,0.077417,448440
B,EXP_DBL_0577,10,4.889743,0.127555,0.026086,0.309029,0.013817,0.044711,448440
A,EXP_DBL_0637,10,1.960184,0.051087,0.026062,0.313437,0.011004,0.035108,448440
B,EXP_DBL_0542,10,4.862763,0.126572,0.026029,0.307092,0.013087,0.042616,448440
A,EXP_DBL_1287,10,1.889324,0.049172,0.026026,0.313364,0.013035,0.041597,448440
C,EXP_DBL_0257,10,3.868365,0.100668,0.026023,0.316578,0.009018,0.028486,448440
B,EXP_ABL_017_ScalarReplacementOfAggregates,10,5.044830,0.131196,0.026006,0.319021,0.008655,0.027130,448440
B,EXP_DBL_0808,10,4.952625,0.128757,0.025998,0.317839,0.007763,0.024424,448440
B,EXP_DBL_1472,10,5.557370,0.144439,0.025991,0.306144,0.011003,0.035941,448440
C,EXP_DBL_0941,10,3.859476,0.100286,0.025984,0.319061,0.010740,0.033661,448440
C,EXP_DBL_1055,10,3.842631,0.099848,0.025984,0.324849,0.013509,0.041585,448440
A,EXP_DBL_1552,10,2.036772,0.052905,0.025975,0.315860,0.007813,0.024736,448440
B,EXP_DBL_0641,10,4.959796,0.128828,0.025974,0.322342,0.017827,0.055305,448440
B,EXP_DBL_1127,10,4.924067,0.127867,0.025968,0.319920,0.015416,0.048187,448440
C,EXP_DBL_1490,10,3.867385,0.100429,0.025968,0.309813,0.018992,0.061301,448440
C,EXP_DBL_0536,10,3.872231,0.100522,0.025960,0.311871,0.011835,0.037948,448440
B,EXP_DBL_0990,10,4.917552,0.127475,0.025922,0.319520,0.015108,0.047283,448440
B,EXP_DBL_0426,10,4.787129,0.124045,0.025912,0.311967,0.005988,0.019194,448440
C,EXP_DBL_1088,10,3.879174,0.100496,0.025907,0.321858,0.015570,0.048375,448440
C,EXP_DBL_0566,10,3.854803,0.099858,0.025905,0.313142,0.022524,0.071929,448440
B,EXP_DBL_0632,10,4.818364,0.124786,0.025898,0.311139,0.006575,0.021132,448440
C,EXP_DBL_1315,10,3.587639,0.092857,0.025882,0.325246,0.012588,0.038703,448440
A,EXP_DBL_1274,10,2.023729,0.052356,0.025871,0.316733,0.010835,0.034209,448440
B,EXP_ABL_065_disable-ondemand-mds-loading,10,4.727542,0.122273,0.025864,0.308016,0.013285,0.043131,448440
B,EXP_DBL_0935,10,4.914428,0.127018,0.025846,0.315012,0.017965,0.057030,448440
B,EXP_DBL_0950,10,4.948103,0.127821,0.025832,0.305797,0.020437,0.066832,448440
C,EXP_DBL_1285,10,3.546914,0.091603,0.025826,0.297048,0.011002,0.037038,448440
A,EXP_DBL_1347,10,2.021017,0.052193,0.025825,0.329064,0.012132,0.036868,448440
B,EXP_DBL_1179,10,5.007013,0.129288,0.025821,0.321156,0.008113,0.025262,448376
A,EXP_DBL_0999,10,2.034838,0.052480,0.025791,0.320545,0.012338,0.038491,448440
A,EXP_DBL_0695,10,1.953662,0.050373,0.025784,0.317967,0.010162,0.031959,448440
B,EXP_DBL_0609,10,4.869838,0.125546,0.025780,0.311397,0.017075,0.054834,448440
B,EXP_DBL_0523,10,4.872929,0.125560,0.025767,0.308860,0.012093,0.039154,448440
A,EXP_DBL_0658,10,1.956737,0.050381,0.025747,0.313329,0.015227,0.048597,448440
A,EXP_DBL_0927,10,2.026601,0.052008,0.025663,0.305831,0.016432,0.053729,448376
C,EXP_DBL_1027,10,3.892858,0.099887,0.025659,0.318371,0.009634,0.030260,448440
C,EXP_DBL_1290,10,3.591934,0.092148,0.025654,0.330650,0.012559,0.037983,448472
B,EXP_DBL_0620,10,4.873795,0.124994,0.025646,0.315856,0.006015,0.019043,448440
B,EXP_DBL_0011,10,4.707325,0.120681,0.025637,0.306428,0.007201,0.023500,448440
C,EXP_DBL_1217,10,3.877814,0.099373,0.025626,0.319737,0.028539,0.089258,448440
