Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med,alloca_mean,alloca_med,load_mean,load_med,store_mean,store_med,gep_mean,gep_med,phi_mean,phi_med,bb_mean,bb_med
words5000_superhaystack:default_standard,EXP_DBL_1048,10,11.245870,11.236714,0.033552,34.893169,34.893169,0.000000,18697352.000000,18697352,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1049,10,11.223507,11.224569,0.024624,34.975995,34.975995,0.000000,18697728.000000,18697728,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1050,10,11.173349,11.153327,0.040640,35.386938,35.386938,0.000000,18710464.000000,18710464,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1051,10,11.233254,11.230838,0.044989,35.150732,35.150732,0.000000,18697712.000000,18697712,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1052,10,11.232627,11.233977,0.043384,34.810138,34.810138,0.000000,18697712.000000,18697712,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1053,10,11.222723,11.212254,0.011103,35.269545,35.269545,0.000000,18697712.000000,18697712,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1054,10,11.233144,11.231988,0.041137,35.315112,35.315112,0.000000,18697728.000000,18697728,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1055,10,11.262620,11.255854,0.036554,35.076916,35.076916,0.000000,18697336.000000,18697336,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1056,10,11.230929,11.233757,0.026854,35.188892,35.188892,0.000000,18697728.000000,18697728,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1057,10,11.222084,11.225077,0.024894,35.294515,35.294515,0.000000,18697728.000000,18697728,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1058,10,11.227024,11.221764,0.014094,35.237154,35.237154,0.000000,18697728.000000,18697728,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1059,10,11.219589,11.219051,0.023846,34.837106,34.837106,0.000000,18697728.000000,18697728,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1060,10,11.360960,11.352706,0.017049,35.012056,35.012056,0.000000,18723704.000000,18723704,5381.000000,5381,37153.000000,37153,23247.000000,23247,44861.000000,44861,22532.000000,22532,1578.000000,1578
words5000_superhaystack:default_standard,EXP_DBL_1061,10,11.254875,11.246565,0.016377,34.623027,34.623027,0.000000,18697352.000000,18697352,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1062,10,11.224384,11.210196,0.028465,34.624417,34.624417,0.000000,18697712.000000,18697712,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1063,10,11.249014,11.239709,0.049950,34.746385,34.746385,0.000000,18697336.000000,18697336,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1064,10,11.253358,11.247584,0.022851,34.136931,34.136931,0.000000,18697352.000000,18697352,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1065,10,11.255534,11.250222,0.019213,34.459987,34.459987,0.000000,18697352.000000,18697352,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1066,10,11.256303,11.245096,0.031433,34.398198,34.398198,0.000000,18697352.000000,18697352,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1067,10,11.251237,11.249237,0.035484,34.457485,34.457485,0.000000,18697336.000000,18697336,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1068,10,11.390147,11.385585,0.026028,34.543108,34.543108,0.000000,18742832.000000,18742832,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1069,10,11.233871,11.232001,0.016485,34.742700,34.742700,0.000000,18697728.000000,18697728,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1070,10,11.233946,11.230614,0.043331,34.724009,34.724009,0.000000,18712792.000000,18712792,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1071,10,11.233272,11.229338,0.037137,34.594111,34.594111,0.000000,18697728.000000,18697728,5397.000000,5397,37174.000000,37174,23250.000000,23250,44971.000000,44971,22484.000000,22484,1555.000000,1555
words5000_superhaystack:default_standard,EXP_DBL_1072,10,11.344988,11.336887,0.032031,34.392642,34.392642,0.000000,18716440.000000,18716440,5400.000000,5400,37183.000000,37183,23250.000000,23250,44974.000000,44974,22477.000000,22477,1555.000000,1555
