Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,wall_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
rustls,EXP_DBL_1475,10,10.841240,10.822968,0.060547,0.005594,70.966800,70.966800,0.000000,0.000000,4363080.000000,4363080
rustls,EXP_DBL_0254,10,10.847167,10.836920,0.060528,0.005585,70.159917,70.159917,0.000000,0.000000,4317408.000000,4317408
rustls,EXP_DBL_1614,10,10.832643,10.816879,0.060198,0.005565,71.130313,71.130313,0.000000,0.000000,4309408.000000,4309408
rustls,EXP_DBL_0748,10,10.847201,10.820725,0.060092,0.005553,69.628150,69.628150,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_0747,10,10.813796,10.798108,0.059877,0.005545,69.926987,69.926987,0.000000,0.000000,4311656.000000,4311656
rustls,EXP_DBL_1466,10,10.829227,10.811234,0.059758,0.005527,70.182100,70.182100,0.000000,0.000000,4308232.000000,4308232
rustls,EXP_DBL_0007,10,10.842060,10.830088,0.059799,0.005522,70.764938,70.764938,0.000000,0.000000,4312872.000000,4312872
rustls,EXP_DBL_1263,10,10.855014,10.838591,0.059626,0.005501,71.732318,71.732318,0.000000,0.000000,4303272.000000,4303272
rustls,EXP_DBL_1305,10,10.850207,10.830728,0.059429,0.005487,70.360017,70.360017,0.000000,0.000000,4294408.000000,4294408
rustls,EXP_DBL_0767,10,10.850870,10.840487,0.059433,0.005483,70.493932,70.493932,0.000000,0.000000,4309408.000000,4309408
rustls,EXP_DBL_0220,10,10.822364,10.797505,0.059173,0.005480,69.417158,69.417158,0.000000,0.000000,4314440.000000,4314440
rustls,EXP_DBL_0606,10,10.841744,10.837281,0.058966,0.005441,69.412112,69.412112,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_0313,10,10.851220,10.835676,0.058838,0.005430,69.787016,69.787016,0.000000,0.000000,4367392.000000,4367392
rustls,EXP_DBL_0522,10,10.828421,10.822911,0.058701,0.005424,69.428980,69.428980,0.000000,0.000000,4309504.000000,4309504
rustls,EXP_DBL_1048,10,10.852643,10.848268,0.058829,0.005423,70.485843,70.485843,0.000000,0.000000,4309416.000000,4309416
rustls,EXP_DBL_0297,10,10.856112,10.844162,0.058784,0.005421,71.320338,71.320338,0.000000,0.000000,4317408.000000,4317408
rustls,EXP_DBL_0947,10,10.840994,10.828296,0.058664,0.005418,71.043128,71.043128,0.000000,0.000000,4309168.000000,4309168
rustls,EXP_DBL_1452,10,10.847655,10.821918,0.058629,0.005418,70.199935,70.199935,0.000000,0.000000,4309416.000000,4309416
rustls,EXP_DBL_0416,10,10.854721,10.847641,0.058727,0.005414,70.047242,70.047242,0.000000,0.000000,4310056.000000,4310056
rustls,EXP_DBL_0843,10,10.877182,10.869226,0.058827,0.005412,70.000129,70.000129,0.000000,0.000000,4393816.000000,4393816
rustls,EXP_DBL_1076,10,10.858049,10.848372,0.058592,0.005401,70.298581,70.298581,0.000000,0.000000,4342536.000000,4342536
rustls,EXP_DBL_1432,10,10.854320,10.838688,0.058504,0.005398,69.879081,69.879081,0.000000,0.000000,4308232.000000,4308232
rustls,EXP_DBL_1264,10,10.855584,10.839669,0.058407,0.005388,70.395681,70.395681,0.000000,0.000000,4294440.000000,4294440
rustls,EXP_DBL_1594,10,10.842819,10.830976,0.058279,0.005381,69.539380,69.539380,0.000000,0.000000,4261568.000000,4261568
rustls,EXP_DBL_1251,10,10.849080,10.830372,0.058212,0.005375,70.701297,70.701297,0.000000,0.000000,4294408.000000,4294408
rustls,EXP_DBL_1313,10,10.859120,10.857848,0.058336,0.005373,69.840054,69.840054,0.000000,0.000000,4294408.000000,4294408
