Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
rustls,EXP_DBL_1556,10,10.845621,10.810228,0.098209,77.761296,77.761296,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1557,10,10.847061,10.819831,0.054435,77.292406,77.292406,0.000000,4310016.000000,4310016
rustls,EXP_DBL_1558,10,10.855615,10.811695,0.063792,77.064730,77.064730,0.000000,4364976.000000,4364976
rustls,EXP_DBL_1559,10,10.825763,10.815698,0.024173,78.243468,78.243468,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1560,10,10.854020,10.850449,0.051698,77.909777,77.909777,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1561,10,10.843621,10.821572,0.061324,77.364535,77.364535,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1562,10,10.841525,10.839983,0.047699,78.431523,78.431523,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1563,10,10.847526,10.823595,0.052421,78.377643,78.377643,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1564,10,10.871023,10.854411,0.057802,78.459357,78.459357,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1565,10,10.850078,10.845997,0.032797,77.479335,77.479335,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1566,10,10.853731,10.833246,0.035252,78.039701,78.039701,0.000000,4317968.000000,4317968
rustls,EXP_DBL_1567,10,10.860629,10.830746,0.019628,78.105787,78.105787,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1568,10,10.851497,10.831923,0.052071,78.428365,78.428365,0.000000,4310448.000000,4310448
rustls,EXP_DBL_1569,10,10.852956,10.833085,0.025955,82.045405,82.045405,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1570,10,10.878422,10.862580,0.094882,78.358118,78.358118,0.000000,4310688.000000,4310688
rustls,EXP_DBL_1571,10,10.864257,10.836382,0.060268,77.631627,77.631627,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1572,10,10.846916,10.842924,0.014534,76.955436,76.955436,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1573,10,10.865531,10.848106,0.031631,77.349755,77.349755,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1574,10,10.887716,10.843146,0.048500,76.575834,76.575834,0.000000,4343152.000000,4343152
rustls,EXP_DBL_1575,10,10.859328,10.840402,0.085727,77.741365,77.741365,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1576,10,10.889829,10.870092,0.127759,79.658316,79.658316,0.000000,4323728.000000,4323728
rustls,EXP_DBL_1577,10,10.831046,10.809013,0.035885,78.120965,78.120965,0.000000,4310320.000000,4310320
rustls,EXP_DBL_1578,10,10.836046,10.815252,0.028620,77.925544,77.925544,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1579,10,10.816403,10.806335,0.011414,77.634809,77.634809,0.000000,4310608.000000,4310608
rustls,EXP_DBL_1580,10,10.845896,10.813737,0.060084,77.954914,77.954914,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1581,10,10.879032,10.856499,0.065497,77.631810,77.631810,0.000000,4310384.000000,4310384
rustls,EXP_DBL_1582,10,10.841866,10.838759,0.027076,77.971232,77.971232,0.000000,4310384.000000,4310384
