Source,Target,Type,Weight,Stability,SelectedBy,Count
EnumSizeOpt,ifcvt-triangle-false,Interaction,0.01633781557738123,1.0,anova_auto,10
GVN,binop-extract-shuffle,Interaction,-0.016217787448816523,1.0,anova_auto,10
DeadStoreElimination-final,loop-idiom-vectorize-bytecmp,Interaction,-0.01604319546619548,1.0,anova_auto,10
JumpThreading,cgp-branch-opts,Interaction,-0.015955839871332422,1.0,anova_auto,10
EarlyOtherwiseBranch,layout-fsprofile-loader,Interaction,-0.015923349132938025,1.0,anova_auto,10
DeadStoreElimination-initial,lsr,Interaction,-0.01590314561278605,1.0,anova_auto,10
DeadStoreElimination-final,ifcvt-simple,Interaction,0.015832197995445885,1.0,anova_auto,10
EnumSizeOpt,phi-elim-edge-splitting,Interaction,-0.015810854675697872,1.0,anova_auto,10
ScalarReplacementOfAggregates,demotion,Interaction,-0.015799820001767717,1.0,anova_auto,10
GVN,cgp-gc-opts,Interaction,0.01573354361419499,1.0,anova_auto,10
ScalarReplacementOfAggregates,mergeicmps,Interaction,-0.01571365947680814,1.0,anova_auto,10
Inline,constant-hoisting,Interaction,0.015551352457669143,1.0,anova_auto,10
UnreachablePropagation,nounwind-inference,Interaction,-0.015497855628637591,1.0,anova_auto,10
ForceInline,ifcvt-simple,Interaction,-0.015496339418781702,1.0,anova_auto,10
ImpossiblePredicates,type-promotion,Interaction,0.015479347814919553,1.0,anova_auto,10
ReferencePropagation,demotion,Interaction,-0.015386224388312275,1.0,anova_auto,10
InstSimplify-after-simplifycfg,ifcvt-triangle-rev,Interaction,-0.015268762828108517,1.0,anova_auto,10
MatchBranchSimplification,cgp-branch-opts,Interaction,-0.015198281492783572,1.0,anova_auto,10
Inline,type-promotion,Interaction,0.01513535636666452,1.0,anova_auto,10
GVN,ra-fsprofile-loader,Interaction,-0.015039698107524924,1.0,anova_auto,10
Inline,post-ra,Interaction,0.015019343010270969,1.0,anova_auto,10
EnumSizeOpt,separate-const-offset-from-gep,Interaction,-0.01499643085859148,1.0,anova_auto,10
Inline,postra-machine-licm,Interaction,-0.014948389623006708,1.0,anova_auto,10
DataflowConstProp,ifcvt-simple-false,Interaction,-0.014908399458231969,1.0,anova_auto,10
InstSimplify-before-inline,expand-reductions,Interaction,0.014883174668316457,1.0,anova_auto,10
InstSimplify-before-inline,preheader-prot,Interaction,-0.014871156462192836,1.0,anova_auto,10
DestinationPropagation,early-ifcvt,Interaction,-0.014857266635392552,1.0,anova_auto,10
DeadStoreElimination-final,ifcvt-triangle-rev,Interaction,0.014756029250905911,1.0,anova_auto,10
EnumSizeOpt,i2p-p2i-opt,Interaction,0.014736324299558401,1.0,anova_auto,10
Inline,cgp-ext-ld-promotion,Interaction,-0.014729421116213448,1.0,anova_auto,10
DataflowConstProp,ra-fsprofile-loader,Interaction,0.014724918808696419,1.0,anova_auto,10
JumpThreading,cgp-ext-ld-promotion,Interaction,-0.014691058673638846,1.0,anova_auto,10
ReferencePropagation,early-taildup,Interaction,0.014655564112299846,1.0,anova_auto,10
Inline,machine-cse,Interaction,0.014648148180779419,1.0,anova_auto,10
EnumSizeOpt,ssc,Interaction,0.014539405106024361,1.0,anova_auto,10
InstSimplify-before-inline,whole-program-visibility,Interaction,0.014508435531247255,1.0,anova_auto,10
GVN,thinlto-funcattrs,Interaction,0.014316453392055006,1.0,anova_auto,10
ForceInline,nounwind-inference,Interaction,-0.014251514301526047,1.0,anova_auto,10
DataflowConstProp,layout-fsprofile-loader,Interaction,0.014240819818880368,1.0,anova_auto,10
DataflowConstProp,mergeicmps,Interaction,0.014238713918697687,1.0,anova_auto,10
EnumSizeOpt,replace-with-vec-lib,Interaction,0.01422337408814034,1.0,anova_auto,10
InstSimplify-after-simplifycfg,cgp-gc-opts,Interaction,-0.014221966306269263,1.0,anova_auto,10
ForceInline,cgp-branch-opts,Interaction,0.014215991947486462,1.0,anova_auto,10
InstSimplify-before-inline,lsr,Interaction,0.014196779557591022,1.0,anova_auto,10
GVN,preinline,Interaction,0.014107338099038635,1.0,anova_auto,10
DeadStoreElimination-initial,ifcvt-simple,Interaction,-0.013902155052308185,1.0,anova_auto,10
GVN,ifcvt-simple-false,Interaction,-0.013900284001341134,1.0,anova_auto,10
JumpThreading,partial-libcall-inlining,Interaction,0.013830169501643397,1.0,anova_auto,10
DataflowConstProp,chr,Interaction,-0.013803856210778065,1.0,anova_auto,10
Inline,layout-fsprofile-loader,Interaction,-0.013771931918595826,1.0,anova_auto,10
GVN,spill-fusing,Interaction,0.013711831974382083,1.0,anova_auto,10
UnreachableEnumBranching,cgdata-for-merging,Interaction,0.01369605899289894,1.0,anova_auto,10
ImpossiblePredicates,thinlto-funcattrs,Interaction,-0.01368753657986943,1.0,anova_auto,10
DeadStoreElimination-initial,cgp,Interaction,-0.013604835121835634,1.0,anova_auto,10
Inline,ifcvt-triangle-rev,Interaction,-0.013594746638506017,1.0,anova_auto,10
ScalarReplacementOfAggregates,2addr-hack,Interaction,-0.013591778871678173,1.0,anova_auto,10
UnreachablePropagation,auto-upgrade-debug-info,Interaction,0.013564766483873836,1.0,anova_auto,10
Inline,ifcvt-triangle-false,Interaction,-0.013560682393788603,1.0,anova_auto,10
EarlyOtherwiseBranch,loop-idiom-vectorize-bytecmp,Interaction,0.013547191198127084,1.0,anova_auto,10
GVN,postra-machine-sink,Interaction,-0.013479630367151607,1.0,anova_auto,10
DestinationPropagation,preheader-prot,Interaction,0.013423939335414303,1.0,anova_auto,10
DataflowConstProp,last-run-tracking,Interaction,-0.013399421873621531,1.0,anova_auto,10
DeadStoreElimination-final,block-placement,Interaction,-0.013357775394720939,1.0,anova_auto,10
DestinationPropagation,cgp,Interaction,-0.013336227940321077,1.0,anova_auto,10
JumpThreading,bitcode-version-upgrade,Interaction,0.013334901994577653,1.0,anova_auto,10
MatchBranchSimplification,dfa-sched,Interaction,-0.01330780135643339,1.0,anova_auto,10
SingleUseConsts,cfi-fixup,Interaction,0.013304512519171308,1.0,anova_auto,10
CopyProp,dfa-sched,Interaction,0.0132986272684823,1.0,anova_auto,10
DataflowConstProp,cgp-branch-opts,Interaction,-0.013262639294667977,1.0,anova_auto,10
DestinationPropagation,cgp-gc-opts,Interaction,-0.013208600861800424,1.0,anova_auto,10
Inline,early-ifcvt,Interaction,0.013171439225292847,1.0,anova_auto,10
SingleUseConsts,ifcvt-diamond,Interaction,0.013153527851428759,1.0,anova_auto,10
EnumSizeOpt,preheader-prot,Interaction,0.013127390454993115,1.0,anova_auto,10
GVN,nounwind-inference,Interaction,-0.013111168948933383,1.0,anova_auto,10
MatchBranchSimplification,type-promotion,Interaction,0.013054011922233322,1.0,anova_auto,10
JumpThreading,interleaved-load-combine,Interaction,-0.013046721767909997,1.0,anova_auto,10
ReferencePropagation,cgp-ext-ld-promotion,Interaction,-0.013025446985931666,1.0,anova_auto,10
DataflowConstProp,ifcvt-simple,Interaction,0.013020063556788752,1.0,anova_auto,10
InstSimplify-after-simplifycfg,partial-inlining,Interaction,0.013011820813809916,1.0,anova_auto,10
EnumSizeOpt,partial-inlining,Interaction,0.013003288872287744,1.0,anova_auto,10
DataflowConstProp,type-promotion,Interaction,0.01300041153545628,1.0,anova_auto,10
GVN,cgdata-for-merging,Interaction,-0.012931459910187737,1.0,anova_auto,10
InstSimplify-before-inline,branch-fold,Interaction,-0.012857431911545536,1.0,anova_auto,10
SingleUseConsts,strictnode-mutation,Interaction,-0.012850328342530304,1.0,anova_auto,10
UnreachablePropagation,post-ra,Interaction,0.012836864912801893,1.0,anova_auto,10
UnreachableEnumBranching,ifcvt-forked-diamond,Interaction,0.012832957526012656,1.0,anova_auto,10
CopyProp,ifcvt-diamond,Interaction,-0.012789788412969294,1.0,anova_auto,10
GVN,lsr,Interaction,0.012720740286246368,1.0,anova_auto,10
ForceInline,cgp-store-extract,Interaction,0.012713821093999211,1.0,anova_auto,10
ReferencePropagation,preheader-prot,Interaction,-0.012693520830567628,1.0,anova_auto,10
ForceInline,tail-calls,Interaction,-0.012688408253649808,1.0,anova_auto,10
UnreachablePropagation,promote-alloca-to-vector,Interaction,0.012672933249676444,1.0,anova_auto,10
GVN,mergeicmps,Interaction,0.012659915779710484,1.0,anova_auto,10
MatchBranchSimplification,chr,Interaction,0.012611850176853956,1.0,anova_auto,10
UnreachablePropagation,spill-fusing,Interaction,0.012502805005106588,1.0,anova_auto,10
JumpThreading,ssc,Interaction,0.012491790343925224,1.0,anova_auto,10
GVN,cgp-branch-opts,Interaction,0.012468930324317284,1.0,anova_auto,10
UnreachableEnumBranching,constant-hoisting,Interaction,0.012466978151330466,1.0,anova_auto,10
Inline,ifcvt-triangle,Interaction,0.012464684787469427,1.0,anova_auto,10
MatchBranchSimplification,sample-loader-inlining,Interaction,-0.012442293413173378,1.0,anova_auto,10
DestinationPropagation,sample-loader-inlining,Interaction,-0.012438199540317108,1.0,anova_auto,10
ScalarReplacementOfAggregates,block-placement,Interaction,0.012399482113863325,1.0,anova_auto,10
ForceInline,machine-cse,Interaction,0.012377935217209757,1.0,anova_auto,10
DeadStoreElimination-initial,ifcvt-forked-diamond,Interaction,-0.012283335397286432,1.0,anova_auto,10
ForceInline,branch-fold,Interaction,0.012212610405485158,1.0,anova_auto,10
EarlyOtherwiseBranch,nofree-inference,Interaction,0.012191787505116736,1.0,anova_auto,10
ReferencePropagation,partial-inlining,Interaction,0.012179366646348999,1.0,anova_auto,10
ImpossiblePredicates,interleaved-load-combine,Interaction,0.012176125467671994,1.0,anova_auto,10
InstSimplify-after-simplifycfg,cgp-store-extract,Interaction,-0.012127313745432744,1.0,anova_auto,10
DestinationPropagation,demotion,Interaction,-0.012124307298844617,1.0,anova_auto,10
UnreachableEnumBranching,loop-idiom-vectorize-bytecmp,Interaction,-0.012082635273943598,1.0,anova_auto,10
DestinationPropagation,type-promotion,Interaction,-0.012074834353280384,1.0,anova_auto,10
MatchBranchSimplification,machine-sink,Interaction,-0.01206818369931506,1.0,anova_auto,10
ForceInline,loop-idiom-vectorize-bytecmp,Interaction,0.012055780346321487,1.0,anova_auto,10
CopyProp,constant-hoisting,Interaction,-0.011945914457873297,1.0,anova_auto,10
GVN,constant-hoisting,Interaction,0.01189841616691556,1.0,anova_auto,10
GVN,cleanups,Interaction,0.011837205499812598,1.0,anova_auto,10
GVN,cgp-store-extract,Interaction,0.011809801736884395,1.0,anova_auto,10
MatchBranchSimplification,cfi-fixup,Interaction,0.011805113939864498,1.0,anova_auto,10
