Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
bat,EXP_DBL_1366,10,23.551029,23.479675,0.286891,0.012219,188.907317,188.907317,0.000000,0.000000,6603752.000000,6603752
bat,EXP_DBL_0328,10,23.630406,23.671568,0.289157,0.012215,194.174088,194.174088,0.000000,0.000000,6605224.000000,6605224
bat,EXP_DBL_1549,10,23.351714,23.393203,0.285594,0.012208,189.292379,189.292379,0.000000,0.000000,6601992.000000,6601992
bat,EXP_DBL_0231,10,23.695961,23.636753,0.288507,0.012206,188.875684,188.875684,0.000000,0.000000,6612552.000000,6612552
bat,EXP_DBL_1599,10,23.568026,23.590167,0.287789,0.012200,191.365582,191.365582,0.000000,0.000000,6604264.000000,6604264
bat,EXP_DBL_1380,10,23.405367,23.339871,0.284591,0.012193,188.370840,188.370840,0.000000,0.000000,6603688.000000,6603688
bat,EXP_DBL_1632,10,23.318835,23.388188,0.285068,0.012189,193.232679,193.232679,0.000000,0.000000,6604296.000000,6604296
bat,EXP_DBL_1614,10,23.563699,23.557721,0.287028,0.012184,193.391859,193.391859,0.000000,0.000000,6604232.000000,6604232
bat,EXP_DBL_1009,10,23.526358,23.460532,0.285809,0.012183,190.058584,190.058584,0.000000,0.000000,6594856.000000,6594856
bat,EXP_ABL_018_SingleUseConsts,10,23.374905,23.384408,0.284715,0.012175,189.554811,189.554811,0.000000,0.000000,6604264.000000,6604264
bat,EXP_DBL_0785,10,23.361521,23.353423,0.284266,0.012172,194.875005,194.875005,0.000000,0.000000,6604360.000000,6604360
bat,EXP_DBL_0257,10,23.259764,23.281458,0.283168,0.012163,189.336916,189.336916,0.000000,0.000000,6605288.000000,6605288
bat,EXP_DBL_0007,10,23.384093,23.283625,0.282939,0.012152,188.180500,188.180500,0.000000,0.000000,6604232.000000,6604232
bat,EXP_DBL_0808,10,23.400533,23.367618,0.283877,0.012148,194.918641,194.918641,0.000000,0.000000,6604296.000000,6604296
bat,EXP_DBL_1148,10,23.310024,23.333739,0.283067,0.012131,188.977179,188.977179,0.000000,0.000000,6623656.000000,6623656
bat,EXP_DBL_1139,10,23.433148,23.441931,0.284254,0.012126,189.798626,189.798626,0.000000,0.000000,6623656.000000,6623656
bat,EXP_DBL_0544,10,23.496460,23.415109,0.283888,0.012124,188.328437,188.328437,0.000000,0.000000,6605160.000000,6605160
bat,EXP_DBL_1516,10,23.546176,23.502288,0.284880,0.012121,188.839632,188.839632,0.000000,0.000000,6602024.000000,6602024
bat,EXP_DBL_1542,10,23.394480,23.375549,0.283267,0.012118,188.875996,188.875996,0.000000,0.000000,6601992.000000,6601992
