Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
bat,EXP_DBL_1058,10,23.701182,23.654241,0.262348,196.496202,196.496202,0.000000,6604264.000000,6604264
bat,EXP_DBL_1059,10,23.660020,23.633420,0.260271,197.637338,197.637338,0.000000,6604264.000000,6604264
bat,EXP_DBL_1060,10,23.499232,23.523935,0.202844,197.325416,197.325416,0.000000,6637352.000000,6637352
bat,EXP_DBL_1061,10,23.427163,23.435620,0.158242,195.971027,195.971027,0.000000,6604264.000000,6604264
bat,EXP_DBL_1062,10,23.496264,23.431494,0.204297,191.738322,191.738322,0.000000,6604264.000000,6604264
bat,EXP_DBL_1063,10,23.373557,23.369604,0.186847,191.562624,191.562624,0.000000,6604264.000000,6604264
bat,EXP_DBL_1064,10,23.499643,23.403534,0.228942,191.696993,191.696993,0.000000,6604264.000000,6604264
bat,EXP_DBL_1065,10,23.671155,23.613763,0.376903,192.219020,192.219020,0.000000,6604264.000000,6604264
bat,EXP_DBL_1066,10,23.555549,23.577751,0.247188,192.469552,192.469552,0.000000,6604264.000000,6604264
bat,EXP_DBL_1067,10,23.442646,23.410109,0.244076,191.870904,191.870904,0.000000,6604264.000000,6604264
bat,EXP_DBL_1068,10,24.007970,23.998482,0.232897,191.676788,191.676788,0.000000,6680936.000000,6680936
bat,EXP_DBL_1069,10,23.489077,23.488171,0.149608,192.188820,192.188820,0.000000,6604264.000000,6604264
bat,EXP_DBL_1070,10,23.482461,23.446455,0.224205,192.357525,192.357525,0.000000,6604168.000000,6604168
bat,EXP_DBL_1071,10,23.696053,23.646752,0.320194,192.353482,192.353482,0.000000,6604264.000000,6604264
bat,EXP_DBL_1072,10,23.464136,23.479222,0.271187,193.023934,193.023934,0.000000,6607752.000000,6607752
bat,EXP_DBL_1073,10,23.331078,23.309632,0.076406,192.356228,192.356228,0.000000,6604264.000000,6604264
