Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,ns_mean,ns_med,ns_iqr,mbps_mean,mbps_med,mbps_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
hyper,EXP_ABL_020_disable-cgp-select2branch,10,12.964532,12.983548,0.104867,42891323.610000,42961135.050000,592522.275000,4890.000000,4881.000000,68.250000,48.971645,48.971645,0.000000,173009024.000000,173009024
hyper,EXP_ABL_021_disable-chr,10,13.230470,13.246142,0.150981,43740327.440000,43728371.350000,316162.175000,4794.500000,4795.500000,35.000000,48.893883,48.893883,0.000000,173009216.000000,173009216
hyper,EXP_ABL_022_disable-early-ifcvt,10,13.207465,13.184123,0.125551,43705506.480000,43674603.650000,212681.600000,4798.300000,4801.500000,24.000000,48.666274,48.666274,0.000000,173009216.000000,173009216
hyper,EXP_ABL_023_disable-early-taildup,10,13.316771,13.310709,0.104632,44033586.320000,44156385.700000,412822.050000,4762.500000,4748.500000,44.000000,48.364065,48.364065,0.000000,173007296.000000,173007296
hyper,EXP_ABL_024_disable-ifcvt-diamond,10,13.212416,13.232997,0.236718,43690347.360000,43709874.800000,825218.400000,4800.200000,4797.500000,90.750000,48.426915,48.426915,0.000000,173009216.000000,173009216
hyper,EXP_ABL_025_disable-ifcvt-forked-diamond,10,13.157002,13.176806,0.132110,43554405.780000,43686327.350000,678917.250000,4815.100000,4800.000000,75.250000,48.270399,48.270399,0.000000,173009216.000000,173009216
hyper,EXP_ABL_026_disable-ifcvt-simple,10,13.168812,13.080178,0.166789,43536682.490000,43329336.950000,159341.325000,4817.200000,4839.500000,18.000000,48.822956,48.822956,0.000000,173009216.000000,173009216
hyper,EXP_ABL_027_disable-ifcvt-simple-false,10,13.000445,12.962164,0.101403,42985776.010000,42841086.450000,365145.950000,4878.800000,4895.000000,41.750000,48.710578,48.710578,0.000000,173009216.000000,173009216
hyper,EXP_ABL_028_disable-ifcvt-triangle,10,13.140859,13.085104,0.202411,43427898.950000,43238454.050000,802038.275000,4829.600000,4850.000000,89.500000,48.749766,48.749766,0.000000,173009216.000000,173009216
hyper,EXP_ABL_029_disable-ifcvt-triangle-false,10,12.977984,13.033141,0.231369,42870384.830000,42988084.900000,892340.300000,4892.200000,4878.000000,102.750000,48.340806,48.340806,0.000000,173009216.000000,173009216
hyper,EXP_ABL_030_disable-ifcvt-triangle-rev,10,12.952175,12.938263,0.299844,42765923.060000,42658237.100000,877860.350000,4904.500000,4915.500000,100.500000,48.371851,48.371851,0.000000,173009216.000000,173009216
hyper,EXP_ABL_031_disable-tail-calls,10,13.123394,13.106409,0.181782,43443958.260000,43285228.000000,638016.725000,4827.100000,4844.500000,71.000000,48.341477,48.341477,0.000000,173009216.000000,173009216
hyper,EXP_ABL_032_disable-tail-duplicate,10,12.958694,12.930117,0.280879,42915162.620000,42714916.100000,930566.575000,4887.400000,4909.500000,106.750000,48.752890,48.752890,0.000000,173008176.000000,173008176
hyper,EXP_ABL_033_disable-cgp-ext-ld-promotion,10,13.462831,13.271681,0.146828,43957192.060000,43807006.000000,271769.100000,4771.200000,4786.500000,30.000000,48.872264,48.872264,0.000000,173009600.000000,173009600
hyper,EXP_ABL_034_disable-cgp-store-extract,10,13.168777,13.190710,0.102961,43488941.580000,43657202.200000,688930.125000,4822.100000,4803.000000,77.000000,50.969371,50.969371,0.000000,173009216.000000,173009216
hyper,EXP_ABL_035_disable-memop-opt,10,13.151953,13.147165,0.100247,43502520.220000,43578890.950000,438559.825000,4820.500000,4811.500000,48.250000,48.718891,48.718891,0.000000,173009216.000000,173009216
hyper,EXP_ABL_036_disable-separate-const-offset-from-gep,10,13.260538,13.253540,0.117258,43904764.750000,43838408.950000,301914.625000,4776.500000,4783.500000,32.500000,48.336757,48.336757,0.000000,173009216.000000,173009216
hyper,EXP_ABL_037_disable-adv-copy-opt,10,13.289234,13.312111,0.243009,43942789.860000,43942555.000000,797199.400000,4772.600000,4772.000000,86.250000,48.292356,48.292356,0.000000,173009248.000000,173009248
hyper,EXP_ABL_038_disable-cgp-delete-phis,10,13.069430,13.052252,0.185475,43201878.970000,43146164.950000,573882.125000,4854.600000,4860.000000,63.750000,48.446622,48.446622,0.000000,173009216.000000,173009216
hyper,EXP_ABL_039_disable-cleanups,10,13.084174,13.096181,0.142853,43305906.820000,43280158.500000,485104.825000,4842.800000,4845.000000,54.500000,48.930573,48.930573,0.000000,173009216.000000,173009216
