Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
eza,EXP_DBL_1060,10,9.360231,9.340759,0.310183,0.033207,137.445354,137.445354,0.000000,0.000000,2476032.000000,2476032
eza,EXP_DBL_0776,10,9.230225,9.185164,0.304850,0.033189,137.387745,137.387745,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_0497,10,8.885982,8.915951,0.295826,0.033179,136.920693,136.920693,0.000000,0.000000,2490112.000000,2490112
eza,EXP_DBL_0374,10,9.300128,9.355081,0.310148,0.033153,143.178632,143.178632,0.000000,0.000000,2474688.000000,2474688
eza,EXP_DBL_0745,10,9.166402,9.167947,0.303721,0.033129,137.352909,137.352909,0.000000,0.000000,2466048.000000,2466048
eza,EXP_DBL_1185,10,8.813182,8.835311,0.292693,0.033128,136.625358,136.625358,0.000000,0.000000,2473600.000000,2473600
eza,EXP_DBL_0463,10,8.848809,8.844008,0.292879,0.033116,136.555930,136.555930,0.000000,0.000000,2474688.000000,2474688
eza,EXP_DBL_0832,10,9.235075,9.263787,0.306678,0.033105,144.502163,144.502163,0.000000,0.000000,2491424.000000,2491424
eza,EXP_DBL_0803,10,9.056426,9.208790,0.304613,0.033079,137.464923,137.464923,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_1636,10,8.665396,8.671717,0.286818,0.033075,135.481934,135.481934,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_0099,10,9.072818,9.205216,0.304051,0.033030,136.266369,136.266369,0.000000,0.000000,2475200.000000,2475200
eza,EXP_DBL_0563,10,9.182969,9.264945,0.305783,0.033004,138.301366,138.301366,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_0923,10,9.472715,9.480200,0.312821,0.032997,138.949813,138.949813,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_1461,10,8.720429,8.801982,0.290405,0.032993,133.064098,133.064098,0.000000,0.000000,2471712.000000,2471712
eza,EXP_DBL_1544,10,8.313593,8.397210,0.276594,0.032939,134.071987,134.071987,0.000000,0.000000,2472160.000000,2472160
eza,EXP_DBL_0121,10,8.984725,8.945714,0.294061,0.032872,136.444023,136.444023,0.000000,0.000000,2475680.000000,2475680
eza,EXP_DBL_0426,10,9.168706,9.155283,0.300911,0.032867,139.037657,139.037657,0.000000,0.000000,2472864.000000,2472864
eza,EXP_DBL_0014,10,9.064918,9.161538,0.301074,0.032863,135.786928,135.786928,0.000000,0.000000,2464896.000000,2464896
