Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
eza,EXP_DBL_1140,10,8.915433,8.965833,0.382132,137.509646,137.509646,0.000000,2477344.000000,2477344
eza,EXP_DBL_1141,10,8.886969,8.830482,0.211536,137.075480,137.075480,0.000000,2477344.000000,2477344
eza,EXP_DBL_1142,10,8.946573,8.999896,0.360604,136.816509,136.816509,0.000000,2477344.000000,2477344
eza,EXP_DBL_1143,10,9.151675,9.184620,0.140583,136.057815,136.057815,0.000000,2477504.000000,2477504
eza,EXP_DBL_1144,10,9.147758,9.137624,0.115855,136.930652,136.930652,0.000000,2477344.000000,2477344
eza,EXP_DBL_1145,10,8.887279,9.052216,0.208784,136.687009,136.687009,0.000000,2477344.000000,2477344
eza,EXP_DBL_1146,10,8.946209,8.964002,0.381184,136.512158,136.512158,0.000000,2477344.000000,2477344
eza,EXP_DBL_1147,10,8.883999,8.815185,0.418122,137.613001,137.613001,0.000000,2477344.000000,2477344
eza,EXP_DBL_1148,10,9.082012,9.132259,0.090637,136.715951,136.715951,0.000000,2477344.000000,2477344
eza,EXP_DBL_1149,10,9.164740,9.138945,0.136325,136.641973,136.641973,0.000000,2477344.000000,2477344
eza,EXP_DBL_1150,10,9.033492,9.124256,0.246225,136.726255,136.726255,0.000000,2477344.000000,2477344
eza,EXP_DBL_1151,10,8.783596,8.860108,0.224559,136.682366,136.682366,0.000000,2509408.000000,2509408
eza,EXP_DBL_1152,10,8.939403,9.003222,0.338004,137.319100,137.319100,0.000000,2477344.000000,2477344
eza,EXP_DBL_1153,10,9.014485,9.146132,0.435598,137.193686,137.193686,0.000000,2477312.000000,2477312
eza,EXP_DBL_1154,10,9.094545,9.113668,0.095111,136.331040,136.331040,0.000000,2477344.000000,2477344
eza,EXP_DBL_1155,10,9.129022,9.195124,0.200572,136.937542,136.937542,0.000000,2476448.000000,2476448
eza,EXP_DBL_1156,10,8.849294,9.046470,0.345740,136.453383,136.453383,0.000000,2477344.000000,2477344
eza,EXP_DBL_1157,10,8.791966,8.934344,0.218893,137.249792,137.249792,0.000000,2477344.000000,2477344
eza,EXP_DBL_1158,10,8.939675,8.952797,0.267899,137.583580,137.583580,0.000000,2477344.000000,2477344
eza,EXP_DBL_1159,10,9.071178,9.133002,0.223979,136.826422,136.826422,0.000000,2513760.000000,2513760
eza,EXP_DBL_1160,10,9.173218,9.199564,0.090004,136.434099,136.434099,0.000000,2477344.000000,2477344
eza,EXP_DBL_1161,10,9.043038,9.108713,0.258535,136.917257,136.917257,0.000000,2492224.000000,2492224
eza,EXP_DBL_1162,10,8.851186,8.940389,0.406724,136.625149,136.625149,0.000000,2477344.000000,2477344
eza,EXP_DBL_1163,10,8.943262,8.969732,0.247222,136.935106,136.935106,0.000000,2476352.000000,2476352
eza,EXP_DBL_1164,10,8.979427,9.185016,0.590552,136.412276,136.412276,0.000000,2476352.000000,2476352
eza,EXP_DBL_1165,10,9.151727,9.175348,0.100001,136.288844,136.288844,0.000000,2476352.000000,2476352
eza,EXP_DBL_1166,10,9.207970,9.227593,0.110330,136.282693,136.282693,0.000000,2476352.000000,2476352
eza,EXP_DBL_1167,10,9.030314,9.104455,0.313517,136.120718,136.120718,0.000000,2476352.000000,2476352
eza,EXP_DBL_1168,10,9.010099,9.093328,0.278999,136.576273,136.576273,0.000000,2476352.000000,2476352
eza,EXP_DBL_1169,10,8.939616,8.978758,0.445281,136.550323,136.550323,0.000000,2476352.000000,2476352
eza,EXP_DBL_1170,10,9.018770,9.134169,0.337757,136.030655,136.030655,0.000000,2476288.000000,2476288
eza,EXP_DBL_1171,10,9.170228,9.169293,0.065643,135.562245,135.562245,0.000000,2476096.000000,2476096
eza,EXP_DBL_1172,10,9.104687,9.188998,0.103911,136.685486,136.685486,0.000000,2476288.000000,2476288
eza,EXP_DBL_1173,10,8.853079,8.855214,0.107427,136.317351,136.317351,0.000000,2474368.000000,2474368
eza,EXP_DBL_1174,10,8.867024,8.825373,0.416001,136.730813,136.730813,0.000000,2476352.000000,2476352
eza,EXP_DBL_1175,10,8.991768,9.110166,0.397391,132.563139,132.563139,0.000000,2471424.000000,2471424
eza,EXP_DBL_1176,10,9.047175,9.111260,0.129190,135.533995,135.533995,0.000000,2465440.000000,2465440
eza,EXP_DBL_1177,10,9.202609,9.238812,0.129525,136.224484,136.224484,0.000000,2476384.000000,2476384
eza,EXP_DBL_1178,10,9.013677,9.070006,0.367978,136.302553,136.302553,0.000000,2475872.000000,2475872
eza,EXP_DBL_1179,10,8.900374,8.874051,0.346914,136.161724,136.161724,0.000000,2423808.000000,2423808
eza,EXP_DBL_1180,10,8.964607,8.989284,0.276553,136.805080,136.805080,0.000000,2488224.000000,2488224
eza,EXP_DBL_1181,10,9.106883,9.165295,0.243074,136.427781,136.427781,0.000000,2476416.000000,2476416
eza,EXP_DBL_1182,10,9.112416,9.146974,0.284072,136.358413,136.358413,0.000000,2476224.000000,2476224
eza,EXP_DBL_1183,10,9.081983,9.167410,0.105716,136.308609,136.308609,0.000000,2476352.000000,2476352
eza,EXP_DBL_1184,10,8.861254,8.852211,0.314121,136.336816,136.336816,0.000000,2476352.000000,2476352
eza,EXP_DBL_1185,10,8.813182,8.835311,0.292693,136.625358,136.625358,0.000000,2473600.000000,2473600
eza,EXP_DBL_1186,10,9.015137,9.124709,0.385586,136.519752,136.519752,0.000000,2476352.000000,2476352
eza,EXP_DBL_1187,10,9.108141,9.124414,0.122917,135.861517,135.861517,0.000000,2476352.000000,2476352
eza,EXP_DBL_1188,10,8.994587,9.153857,0.071722,136.366119,136.366119,0.000000,2476352.000000,2476352
eza,EXP_DBL_1189,10,9.114945,9.172086,0.257413,136.332427,136.332427,0.000000,2476352.000000,2476352
eza,EXP_DBL_1190,10,8.639734,8.579071,0.394667,136.604635,136.604635,0.000000,2476352.000000,2476352
eza,EXP_DBL_1191,10,8.901917,8.913146,0.494125,136.617727,136.617727,0.000000,2476352.000000,2476352
eza,EXP_DBL_1192,10,9.148617,9.234603,0.108904,137.189736,137.189736,0.000000,2476352.000000,2476352
eza,EXP_DBL_1193,10,8.987485,9.115468,0.400275,136.550882,136.550882,0.000000,2476352.000000,2476352
eza,EXP_DBL_1194,10,9.102169,9.135065,0.069159,136.335441,136.335441,0.000000,2475520.000000,2475520
eza,EXP_DBL_1195,10,8.940812,8.888217,0.237389,136.394197,136.394197,0.000000,2476768.000000,2476768
eza,EXP_DBL_1196,10,8.975269,8.994193,0.206250,137.027601,137.027601,0.000000,2476352.000000,2476352
eza,EXP_DBL_1197,10,9.072726,9.151523,0.243186,136.672503,136.672503,0.000000,2476352.000000,2476352
eza,EXP_DBL_1198,10,9.041744,9.117403,0.167661,136.455893,136.455893,0.000000,2476352.000000,2476352
eza,EXP_DBL_1199,10,9.092353,9.147862,0.147958,136.299949,136.299949,0.000000,2476352.000000,2476352
eza,EXP_DBL_1200,10,8.972131,8.973458,0.267793,136.478497,136.478497,0.000000,2476352.000000,2476352
eza,EXP_DBL_1201,10,8.893539,8.884541,0.407542,136.871985,136.871985,0.000000,2476352.000000,2476352
eza,EXP_DBL_1202,10,9.010518,9.069450,0.255839,136.086894,136.086894,0.000000,2476032.000000,2476032
eza,EXP_DBL_1203,10,9.008362,9.065946,0.223977,135.470808,135.470808,0.000000,2478816.000000,2478816
eza,EXP_DBL_1204,10,9.188716,9.190264,0.137281,136.090715,136.090715,0.000000,2476352.000000,2476352
eza,EXP_DBL_1205,10,9.017989,9.110519,0.190738,136.295937,136.295937,0.000000,2476352.000000,2476352
eza,EXP_DBL_1206,10,8.972340,8.981696,0.365538,136.640861,136.640861,0.000000,2476352.000000,2476352
eza,EXP_DBL_1207,10,8.915156,8.938736,0.319786,136.943697,136.943697,0.000000,2480128.000000,2480128
eza,EXP_DBL_1208,10,8.997403,9.095412,0.233356,136.662897,136.662897,0.000000,2475968.000000,2475968
eza,EXP_DBL_1209,10,9.182941,9.177058,0.144528,135.414970,135.414970,0.000000,2471392.000000,2471392
eza,EXP_DBL_1210,10,9.149263,9.168090,0.114417,136.380308,136.380308,0.000000,2476352.000000,2476352
eza,EXP_DBL_1211,10,8.981755,9.019872,0.239894,136.709118,136.709118,0.000000,2476352.000000,2476352
