Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med,run_repeats_med
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0800,10,6.688115,6.653728,0.216427,0.032527,120.739361,120.739361,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1544,10,7.065517,7.090514,0.230435,0.032499,131.329138,131.329138,0.000000,0.000000,2621376.000000,2621376,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1365,10,6.612460,6.598080,0.214355,0.032487,122.163893,122.163893,0.000000,0.000000,2620616.000000,2620616,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_000_ALL_OFF,10,7.179790,7.214054,0.234186,0.032462,152.166145,152.166145,0.000000,0.000000,2650952.000000,2650952,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0727,10,6.650907,6.629718,0.215007,0.032431,124.040271,124.040271,0.000000,0.000000,2625968.000000,2625968,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_ABL_061_disable-last-run-tracking,10,6.510801,6.509302,0.211018,0.032418,124.465114,124.465114,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0028,10,6.524635,6.538207,0.211923,0.032413,122.008373,122.008373,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0524,10,6.586105,6.594038,0.213570,0.032388,123.850682,123.850682,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0913,10,7.056171,7.050747,0.227984,0.032335,125.076870,125.076870,0.000000,0.000000,2650288.000000,2650288,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1318,10,6.518615,6.499587,0.210017,0.032312,123.313063,123.313063,0.000000,0.000000,2622536.000000,2622536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1104,10,5.773077,5.755566,0.185972,0.032312,127.297801,127.297801,0.000000,0.000000,2620688.000000,2620688,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1028,10,6.498436,6.453694,0.208428,0.032296,115.942664,115.942664,0.000000,0.000000,2620720.000000,2620720,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1639,10,6.809348,6.787649,0.219185,0.032292,126.143415,126.143415,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0427,10,6.527259,6.558898,0.211489,0.032245,120.770985,120.770985,0.000000,0.000000,2621680.000000,2621680,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0605,10,6.781162,6.748952,0.217575,0.032238,124.581097,124.581097,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1234,10,6.974704,6.978720,0.224926,0.032230,131.127341,131.127341,0.000000,0.000000,2659344.000000,2659344,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_0778,10,6.549703,6.576909,0.211966,0.032229,124.046329,124.046329,0.000000,0.000000,2621536.000000,2621536,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1334,10,6.620216,6.588219,0.211728,0.032137,124.049481,124.049481,0.000000,0.000000,2620616.000000,2620616,75
decode:tests/images/exr/cropping - uncropped original.exr,EXP_DBL_1568,10,7.012798,7.034116,0.225964,0.032124,126.752794,126.752794,0.000000,0.000000,2621504.000000,2621504,75
