Source,Target,Type,Weight,Stability
MatchBranchSimplification,last-run-tracking,Interaction,-0.0578133605589523,1.0
MatchBranchSimplification,non-allocatable-phys-copy-opt,Interaction,-0.057019880507473,1.0
MatchBranchSimplification,separate-const-offset-from-gep,Interaction,-0.0566551781784516,1.0
MatchBranchSimplification,auto-upgrade-debug-info,Interaction,-0.0559403412915089,1.0
MatchBranchSimplification,cgdata-for-merging,Interaction,-0.0559017814923485,1.0
UnreachablePropagation,cgp-select2branch,Interaction,-0.0555104283189935,1.0
GVN,vector-combine,Interaction,-0.0554728960136943,1.0
MatchBranchSimplification,spill-fusing,Interaction,-0.0554575227562375,1.0
MatchBranchSimplification,binop-extract-shuffle,Interaction,-0.0548320504967443,1.0
UnreachablePropagation,constant-hoisting,Interaction,-0.0547215539412704,1.0
GVN,replace-with-vec-lib,Interaction,-0.0544166944108637,1.0
UnreachablePropagation,peephole,Interaction,-0.054143991182463,1.0
MatchBranchSimplification,cgp-ext-ld-promotion,Interaction,-0.0539404387747519,1.0
MatchBranchSimplification,lftr,Interaction,-0.0538285161890779,1.0
MatchBranchSimplification,layout-fsprofile-loader,Interaction,-0.0529562326071171,1.0
MatchBranchSimplification,2addr-hack,Interaction,-0.0529424204677786,1.0
UnreachablePropagation,tail-duplicate,Interaction,-0.0527385732413394,1.0
