disabled_mir_count,disabled_llvm_count,disabled_mir,disabled_llvm,runtime,compile_time,size,log_runtime,log_compile_time,log_size
5,9,ImpossiblePredicates;Inline;InstSimplify-before-inline;JumpThreading;MatchBranchSimplification,advanced-peeling;cgp-store-extract;dfa-sched;icp;ifcvt-triangle-false;machine-licm;peephole;strictnode-mutation;type-promotion,34.158556824664316,26.848040126091128,629861.1690972165,3.531013120506381,3.2901928248490515,13.353254707571093
5,9,ForceInline;GVN;ImpossiblePredicates;InstSimplify-after-simplifycfg;InstSimplify-before-inline,auto-upgrade-debug-info;constant-hoisting;ifcvt-diamond;ifcvt-triangle;last-run-tracking;peephole;phi-elim-edge-splitting;type-promotion;whole-program-visibility,27.1713457164367,22.234097095472617,627852.4444408301,3.3021629517088296,3.1016270157836554,13.350060456761176
4,2,GVN;Inline;JumpThreading;ReferencePropagation,i2p-p2i-opt;whole-program-visibility,17.118438318457088,22.623283701591305,629238.2640456524,2.840156146836533,3.1189796282153868,13.352265262121454
6,9,DataflowConstProp;Inline;InstSimplify-before-inline;MatchBranchSimplification;ReferencePropagation;ScalarReplacementOfAggregates,cgp;ifcvt-triangle-rev;layout-fsprofile-loader;licm-promotion;loop-level-heuristics;mergeicmps;mr-partial-inlining;ondemand-mds-loading;vector-combine,24.605126438120642,26.337139587048835,626609.593786909,3.2029548130212855,3.270980094634163,13.348078968246263
4,6,ImpossiblePredicates;JumpThreading;ReferencePropagation;SingleUseConsts,cgp-select2branch;early-taildup;expand-reductions;layout-fsprofile-loader;lsr;non-allocatable-phys-copy-opt,19.507689815023824,22.71208884431414,625433.120774933,2.9708087373227787,3.1228973309415564,13.346199681949493
6,12,DeadStoreElimination-initial;ImpossiblePredicates;Inline;MatchBranchSimplification;ReferencePropagation;ScalarReplacementOfAggregates,cgp-store-extract;chr;dfa-sched;global-outlining;lsr;machine-licm;mergeicmps;non-allocatable-phys-copy-opt;partial-libcall-inlining;preheader-prot;ra-fsprofile-loader;vector-combine,23.539570115519044,27.8184349759645,625835.5740715326,3.1586828397927826,3.3256989295557697,13.34684295435315
2,4,EnumSizeOpt;UnreachablePropagation,complex-addr-modes;interleaved-load-combine;lftr;partial-inlining,16.79920970052806,18.044844545156252,625809.1016654219,2.8213318436674863,2.8928600232145434,13.346800654159448
8,5,DestinationPropagation;EarlyOtherwiseBranch;GVN;InstSimplify-after-simplifycfg;InstSimplify-before-inline;MatchBranchSimplification;UnreachableEnumBranching;UnreachablePropagation,advanced-peeling;early-ifcvt;early-taildup;loop-idiom-vectorize-bytecmp;strictnode-mutation,21.479742754899156,32.282295872822175,624094.9554219377,3.0671102935400474,3.474518964565954,13.344057807925099
5,3,DeadStoreElimination-final;EarlyOtherwiseBranch;EnumSizeOpt;ImpossiblePredicates;Inline,bitcode-version-upgrade;i2p-p2i-opt;ssc,16.66313808029651,25.38553025206552,628308.0427205795,2.813198979163004,3.23417933658244,13.350785839073998
6,10,DataflowConstProp;DeadStoreElimination-initial;Inline;InstSimplify-before-inline;JumpThreading;UnreachableEnumBranching,adv-copy-opt;early-ifcvt;ifcvt-triangle-rev;last-run-tracking;machine-sink;mergeicmps;mr-partial-inlining;postra-machine-sink;preheader-prot;sample-loader-inlining,28.01889978374293,24.27992409640754,628123.5832359671,3.3328792747469107,3.1896498400087974,13.350492214682305
