Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med,alloca_mean,alloca_med,load_mean,load_med,store_mean,store_med,gep_mean,gep_med,phi_mean,phi_med,bb_mean,bb_med
rg,EXP_000_ALL_OFF,10,10.618460,10.586433,0.146951,52.925749,52.925749,0.000000,23625408.000000,23625408,3791.000000,3791,22196.000000,22196,14686.000000,14686,26115.000000,26115,8942.000000,8942,1543.000000,1543
rg,EXP_001_DISABLE_ALL,10,14.819121,14.724493,0.738639,46.877407,46.877407,0.000000,24845416.000000,24845416,3831.000000,3831,21872.000000,21872,15119.000000,15119,26097.000000,26097,9198.000000,9198,1536.000000,1536
rg,EXP_ABL_001_CopyProp,10,9.658637,9.630133,0.056069,47.224367,47.224367,0.000000,24220664.000000,24220664,3830.000000,3830,21926.000000,21926,15125.000000,15125,26129.000000,26129,9283.000000,9283,1530.000000,1530
rg,EXP_ABL_001_disable-binop-extract-shuffle,10,10.737027,10.693874,0.390111,49.764836,49.764836,0.000000,24233072.000000,24233072,3830.000000,3830,21926.000000,21926,15125.000000,15125,26129.000000,26129,9283.000000,9283,1530.000000,1530
rg,EXP_ABL_002_DataflowConstProp,10,9.672629,9.646685,0.019471,47.549243,47.549243,0.000000,24233072.000000,24233072,3830.000000,3830,21926.000000,21926,15125.000000,15125,26129.000000,26129,9283.000000,9283,1530.000000,1530
rg,EXP_ABL_002_disable-expand-reductions,10,11.835373,10.626579,2.884494,50.472653,50.472653,0.000000,24233256.000000,24233256,3830.000000,3830,21926.000000,21926,15125.000000,15125,26129.000000,26129,9283.000000,9283,1530.000000,1530
rg,EXP_ABL_003_DeadStoreElimination-final,10,9.400842,9.376750,0.023165,45.915956,45.915956,0.000000,24221624.000000,24221624,3845.000000,3845,21872.000000,21872,15162.000000,15162,26101.000000,26101,9286.000000,9286,1530.000000,1530
rg,EXP_ABL_003_disable-interleaved-load-combine,10,9.698469,9.656890,0.119336,46.411416,46.411416,0.000000,24233072.000000,24233072,3830.000000,3830,21926.000000,21926,15125.000000,15125,26129.000000,26129,9283.000000,9283,1530.000000,1530
rg,EXP_ABL_004_DeadStoreElimination-initial,10,9.387718,9.369968,0.042435,46.360863,46.360863,0.000000,24223856.000000,24223856,3794.000000,3794,21914.000000,21914,15125.000000,15125,26117.000000,26117,9275.000000,9275,1530.000000,1530
rg,EXP_ABL_004_disable-loop-idiom-vectorize-all,10,10.454254,10.562497,0.732385,45.851555,45.851555,0.000000,24233072.000000,24233072,3830.000000,3830,21926.000000,21926,15125.000000,15125,26129.000000,26129,9283.000000,9283,1530.000000,1530
rg,EXP_ABL_005_DestinationPropagation,10,10.351936,10.354788,0.025475,45.856670,45.856670,0.000000,24215992.000000,24215992,3846.000000,3846,21926.000000,21926,15118.000000,15118,26143.000000,26143,9262.000000,9262,1530.000000,1530
