Variant,ConfigName,n,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_med,compile_iqr,compile_iqr_ratio,size_med
A,EXP_DBL_0295,10,10.913150,0.051572,0.004726,7.001739,0.000000,0.000000,417584
A,EXP_DBL_0674,10,10.870423,0.051358,0.004725,7.086903,0.000000,0.000000,417488
A,EXP_DBL_1642,10,10.920357,0.051587,0.004724,7.355761,0.000000,0.000000,417488
A,EXP_DBL_0214,10,10.897475,0.051455,0.004722,7.125618,0.000000,0.000000,417488
A,EXP_DBL_0631,10,10.693220,0.050498,0.004722,6.878878,0.000000,0.000000,416448
A,EXP_ABL_070_disable-whole-program-visibility,10,10.917012,0.051527,0.004720,7.125503,0.000000,0.000000,417488
A,EXP_DBL_0310,10,10.923420,0.051518,0.004716,7.139771,0.000000,0.000000,417488
A,EXP_DBL_0265,10,10.912958,0.051456,0.004715,7.172753,0.000000,0.000000,417488
A,EXP_DBL_1236,10,10.859742,0.051192,0.004714,7.737441,0.000000,0.000000,417472
A,EXP_DBL_1660,10,10.915156,0.051423,0.004711,7.285296,0.000000,0.000000,417488
A,EXP_DBL_0823,10,10.891707,0.051226,0.004703,7.003407,0.000000,0.000000,417488
A,EXP_ABL_014_JumpThreading,10,11.148121,0.052352,0.004696,6.992683,0.000000,0.000000,417616
A,EXP_DBL_1158,10,11.177049,0.052478,0.004695,7.157622,0.000000,0.000000,417616
A,EXP_DBL_0565,10,10.915748,0.051221,0.004692,7.185022,0.000000,0.000000,417488
A,EXP_DBL_0918,10,10.915436,0.051173,0.004688,7.093709,0.000000,0.000000,417488
A,EXP_DBL_0827,10,11.425990,0.053462,0.004679,7.154946,0.000000,0.000000,426000
A,EXP_DBL_1452,10,10.894853,0.050942,0.004676,6.898511,0.000000,0.000000,417792
A,EXP_DBL_0848,10,11.485231,0.053683,0.004674,7.148013,0.000000,0.000000,419360
A,EXP_DBL_0734,10,10.907189,0.050961,0.004672,7.010867,0.000000,0.000000,417488
A,EXP_DBL_0828,10,10.898309,0.050912,0.004672,7.078453,0.000000,0.000000,417488
A,EXP_DBL_1570,10,10.887563,0.050837,0.004669,7.145882,0.000000,0.000000,417488
A,EXP_DBL_1330,10,10.895347,0.050828,0.004665,7.004470,0.000000,0.000000,417520
A,EXP_DBL_0546,10,10.892361,0.050803,0.004664,7.207273,0.000000,0.000000,417488
A,EXP_DBL_1126,10,11.205313,0.052239,0.004662,7.175879,0.000000,0.000000,418384
A,EXP_DBL_0293,10,10.908900,0.050824,0.004659,6.993708,0.000000,0.000000,417488
A,EXP_DBL_1461,10,10.689967,0.049800,0.004659,7.006193,0.000000,0.000000,416448
A,EXP_DBL_0946,10,10.898675,0.050728,0.004655,7.248692,0.000000,0.000000,417664
A,EXP_DBL_1449,10,10.914748,0.050788,0.004653,6.994836,0.000000,0.000000,417488
A,EXP_DBL_0675,10,10.908510,0.050728,0.004650,6.974197,0.000000,0.000000,417488
A,EXP_DBL_1195,10,10.923023,0.050720,0.004643,7.141998,0.000000,0.000000,417664
A,EXP_DBL_0325,10,10.922775,0.050683,0.004640,7.139667,0.000000,0.000000,417488
A,EXP_DBL_1486,10,10.879749,0.050442,0.004636,7.231718,0.000000,0.000000,417488
A,EXP_DBL_0209,10,10.921627,0.050609,0.004634,7.203286,0.000000,0.000000,417488
