Variant,ConfigName,n,runtime_med,runtime_iqr,compile_med,compile_iqr,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
B,EXP_DBL_1602,10,4.501848,0.017818,0.561554,0.012839,452288,15,74,28,69,699,8
B,EXP_DBL_1603,10,4.480797,0.032727,0.567572,0.010606,452288,15,74,28,69,699,8
B,EXP_DBL_1604,10,4.497968,0.029166,0.561580,0.006094,452288,15,74,28,69,699,8
B,EXP_DBL_1605,10,4.499317,0.042408,0.566819,0.006988,452288,15,74,28,69,699,8
B,EXP_DBL_1606,10,4.497412,0.045048,0.565085,0.010800,452288,15,74,28,69,699,8
B,EXP_DBL_1607,10,4.488634,0.038471,0.565097,0.007186,452288,15,74,28,69,699,8
B,EXP_DBL_1608,10,4.499536,0.017604,0.560931,0.014684,452288,15,74,28,69,699,8
B,EXP_DBL_1609,10,4.500189,0.028763,0.564277,0.010559,452288,15,74,28,69,699,8
B,EXP_DBL_1610,10,4.502959,0.013407,0.562409,0.010729,452288,15,74,28,69,699,8
B,EXP_DBL_1611,10,4.508728,0.053730,0.558013,0.014622,452288,15,74,28,69,699,8
B,EXP_DBL_1612,10,4.506966,0.024497,0.563204,0.010820,452288,15,74,28,69,699,8
B,EXP_DBL_1613,10,4.500440,0.025499,0.559370,0.010187,452288,15,74,28,69,699,8
B,EXP_DBL_1614,10,4.499262,0.030038,0.564443,0.011186,452288,15,74,28,69,699,8
B,EXP_DBL_1615,10,4.496979,0.036539,0.567555,0.015194,452288,15,74,28,69,699,8
B,EXP_DBL_1616,10,4.503611,0.026001,0.564762,0.005351,452288,15,74,28,69,699,8
B,EXP_DBL_1617,10,4.513536,0.026577,0.570488,0.004707,452288,15,74,28,69,699,8
B,EXP_DBL_1618,10,4.495413,0.016521,0.564634,0.007784,452336,15,74,28,69,699,8
B,EXP_DBL_1619,10,4.512391,0.031872,0.559718,0.013914,452288,15,74,28,69,699,8
B,EXP_DBL_1620,10,4.493398,0.048536,0.565341,0.008701,452288,15,74,28,69,699,8
B,EXP_DBL_1621,10,4.481926,0.017389,0.560516,0.014454,452288,15,74,28,69,699,8
B,EXP_DBL_1622,10,4.411055,0.051850,0.567773,0.010694,452272,15,74,28,69,699,8
B,EXP_DBL_1623,10,4.195639,0.048802,0.563462,0.022567,452256,15,74,28,69,699,8
B,EXP_DBL_1624,10,4.444253,0.036260,0.566698,0.013060,452288,15,74,28,69,699,8
B,EXP_DBL_1625,10,4.488152,0.042556,0.567152,0.008356,452288,15,74,28,69,699,8
B,EXP_DBL_1626,10,4.504134,0.019108,0.559802,0.012891,452288,15,74,28,69,699,8
B,EXP_DBL_1627,10,4.058194,0.037318,0.561061,0.014093,451840,15,74,28,69,699,8
B,EXP_DBL_1628,10,4.650391,0.046416,0.566712,0.004551,452272,15,74,28,69,699,8
B,EXP_DBL_1629,10,4.503466,0.022496,0.557241,0.015906,452288,15,74,28,69,699,8
B,EXP_DBL_1630,10,4.503125,0.034640,0.562998,0.014876,452288,15,74,28,69,699,8
B,EXP_DBL_1631,10,4.245398,0.038455,0.566183,0.008285,452336,15,74,28,69,699,8
B,EXP_DBL_1632,10,4.491630,0.026317,0.564043,0.008950,452288,15,74,28,69,699,8
B,EXP_DBL_1633,10,4.514676,0.031070,0.562790,0.014588,452288,15,74,28,69,699,8
B,EXP_DBL_1634,10,4.484533,0.032669,0.567334,0.013815,452288,15,74,28,69,699,8
B,EXP_DBL_1635,10,4.507523,0.040738,0.564841,0.009391,452288,15,74,28,69,699,8
B,EXP_DBL_1636,10,4.503580,0.036508,0.567360,0.017033,452288,15,74,28,69,699,8
B,EXP_DBL_1637,10,4.495868,0.026616,0.565381,0.011030,452288,15,74,28,69,699,8
B,EXP_DBL_1638,10,4.482156,0.015803,0.567667,0.016111,452288,15,74,28,69,699,8
B,EXP_DBL_1639,10,4.488995,0.023424,0.563452,0.011585,452288,15,74,28,69,699,8
B,EXP_DBL_1640,10,4.506834,0.025658,0.564739,0.009568,452288,15,74,28,69,699,8
B,EXP_DBL_1641,10,4.406649,0.020093,0.563489,0.007809,452320,15,74,28,69,699,8
B,EXP_DBL_1642,10,4.508279,0.034391,0.561342,0.014904,452288,15,74,28,69,699,8
B,EXP_DBL_1643,10,4.492738,0.048416,0.565247,0.013662,452288,15,74,28,69,699,8
B,EXP_DBL_1644,10,4.493504,0.039069,0.568624,0.012120,452288,15,74,28,69,699,8
