Variant,ConfigName,n,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_med,compile_iqr,compile_iqr_ratio,size_med
S,EXP_DBL_1604,10,4.132540,0.058640,0.014190,0.561580,0.006094,0.010852,452288
S,EXP_DBL_1557,10,4.053093,0.057511,0.014189,0.558121,0.003779,0.006771,452288
S,EXP_DBL_1584,10,4.106698,0.058032,0.014131,0.564680,0.010176,0.018021,452288
S,EXP_DBL_1562,10,4.013280,0.056196,0.014003,0.546532,0.016526,0.030238,452288
S,EXP_DBL_1589,10,4.112576,0.057511,0.013984,0.568198,0.012460,0.021929,452288
S,EXP_DBL_1596,10,4.100675,0.056925,0.013882,0.564191,0.008182,0.014502,452288
S,EXP_DBL_1647,10,4.113542,0.056781,0.013803,0.565621,0.008027,0.014191,452288
L,EXP_DBL_1658,10,4.417457,0.060298,0.013650,0.561222,0.008543,0.015222,452288
S,EXP_DBL_1577,10,4.127700,0.056261,0.013630,0.561584,0.009796,0.017444,452288
S,EXP_DBL_1563,10,4.031930,0.054611,0.013545,0.546301,0.011989,0.021946,452288
B,EXP_DBL_1586,10,4.484290,0.060316,0.013451,0.566502,0.009089,0.016044,452288
S,EXP_DBL_1559,10,4.054778,0.054317,0.013396,0.557289,0.010559,0.018947,452288
L,EXP_DBL_1602,10,4.411921,0.058666,0.013297,0.561554,0.012839,0.022863,452288
L,EXP_DBL_1619,10,4.448233,0.058662,0.013188,0.559718,0.013914,0.024859,452288
S,EXP_DBL_1629,10,4.111005,0.053945,0.013122,0.557241,0.015906,0.028544,452288
S,EXP_DBL_1570,10,4.094824,0.053664,0.013105,0.560335,0.009516,0.016983,452288
S,EXP_DBL_1540,10,4.045818,0.052839,0.013060,0.556768,0.020432,0.036698,452256
S,EXP_DBL_1603,10,4.137973,0.053318,0.012885,0.567572,0.010606,0.018687,452288
S,EXP_DBL_1606,10,4.097924,0.052774,0.012878,0.565085,0.010800,0.019112,452288
S,EXP_DBL_1542,10,4.066586,0.052309,0.012863,0.557507,0.009191,0.016486,452288
L,EXP_DBL_1607,10,4.430584,0.056748,0.012808,0.565097,0.007186,0.012716,452288
S,EXP_DBL_1619,10,4.128847,0.052406,0.012693,0.559718,0.013914,0.024859,452288
S,EXP_DBL_1607,10,4.102623,0.051822,0.012631,0.565097,0.007186,0.012716,452288
S,EXP_DBL_1627,10,4.417428,0.055744,0.012619,0.561061,0.014093,0.025118,451840
S,EXP_DBL_1642,10,4.108243,0.051582,0.012556,0.561342,0.014904,0.026551,452288
L,EXP_DBL_1635,10,4.415095,0.055294,0.012524,0.564841,0.009391,0.016626,452288
L,EXP_DBL_1654,10,4.395103,0.054652,0.012435,0.566399,0.015821,0.027933,452288
B,EXP_DBL_1650,10,4.494727,0.055792,0.012413,0.561209,0.012520,0.022309,452288
L,EXP_DBL_1588,10,3.796713,0.046774,0.012320,0.402087,0.007234,0.017991,451776
S,EXP_DBL_1631,10,4.078418,0.049887,0.012232,0.566183,0.008285,0.014633,452336
B,EXP_DBL_1541,10,4.412782,0.053770,0.012185,0.554976,0.016355,0.029470,452288
S,EXP_DBL_1591,10,3.993921,0.048568,0.012160,0.559427,0.004999,0.008936,452352
L,EXP_DBL_1618,10,4.632570,0.055984,0.012085,0.564634,0.007784,0.013786,452336
L,EXP_DBL_1612,10,4.408893,0.053260,0.012080,0.563204,0.010820,0.019212,452288
L,EXP_DBL_1628,10,4.114178,0.049545,0.012043,0.566712,0.004551,0.008031,452272
B,EXP_DBL_1611,10,4.508728,0.053730,0.011917,0.558013,0.014622,0.026204,452288
S,EXP_DBL_1569,10,4.113102,0.049017,0.011917,0.552846,0.012780,0.023117,452288
B,EXP_DBL_1622,10,4.411055,0.051850,0.011755,0.567773,0.010694,0.018835,452272
S,EXP_DBL_1633,10,4.102106,0.048184,0.011746,0.562790,0.014588,0.025921,452288
L,EXP_DBL_1636,10,4.403173,0.051454,0.011686,0.567360,0.017033,0.030022,452288
B,EXP_DBL_1623,10,4.195639,0.048802,0.011632,0.563462,0.022567,0.040051,452256
B,EXP_DBL_1660,10,4.475479,0.051919,0.011601,0.563057,0.015135,0.026880,452288
L,EXP_DBL_1641,10,4.091463,0.047453,0.011598,0.563489,0.007809,0.013858,452320
B,EXP_DBL_1595,10,4.521343,0.052431,0.011596,0.563902,0.006504,0.011534,452256
L,EXP_DBL_1659,10,4.394884,0.050773,0.011553,0.561268,0.012318,0.021947,452384
L,EXP_DBL_1610,10,4.438250,0.051044,0.011501,0.562409,0.010729,0.019077,452288
S,EXP_DBL_1568,10,4.070856,0.046674,0.011465,0.548323,0.018347,0.033460,452288
S,EXP_DBL_1580,10,4.114703,0.046979,0.011417,0.568448,0.007522,0.013233,452288
S,EXP_DBL_1560,10,4.044720,0.045565,0.011265,0.556380,0.009046,0.016259,452288
L,EXP_DBL_1559,10,4.395490,0.048982,0.011144,0.557289,0.010559,0.018947,452288
B,EXP_DBL_1648,10,4.488370,0.049891,0.011116,0.566529,0.011679,0.020615,452288
L,EXP_DBL_1575,10,4.432873,0.049233,0.011106,0.557268,0.015804,0.028360,452288
B,EXP_DBL_1580,10,4.500386,0.049874,0.011082,0.568448,0.007522,0.013233,452288
S,EXP_DBL_1649,10,4.100538,0.045291,0.011045,0.563620,0.009573,0.016985,452432
L,EXP_DBL_1574,10,4.416962,0.048684,0.011022,0.561107,0.011593,0.020661,452576
B,EXP_DBL_1591,10,4.148077,0.044870,0.010817,0.559427,0.004999,0.008936,452352
B,EXP_DBL_1620,10,4.493398,0.048536,0.010802,0.565341,0.008701,0.015391,452288
B,EXP_DBL_1643,10,4.492738,0.048416,0.010777,0.565247,0.013662,0.024170,452288
S,EXP_DBL_1646,10,4.104588,0.044097,0.010743,0.563553,0.011573,0.020536,452288
S,EXP_DBL_1574,10,4.145046,0.044331,0.010695,0.561107,0.011593,0.020661,452576
L,EXP_DBL_1634,10,4.420542,0.047133,0.010662,0.567334,0.013815,0.024351,452288
L,EXP_DBL_1637,10,4.426980,0.047155,0.010652,0.565381,0.011030,0.019509,452288
L,EXP_DBL_1639,10,4.428092,0.046929,0.010598,0.563452,0.011585,0.020561,452288
L,EXP_DBL_1603,10,4.406016,0.046549,0.010565,0.567572,0.010606,0.018687,452288
S,EXP_DBL_1598,10,4.139553,0.043464,0.010500,0.560488,0.012666,0.022598,452288
L,EXP_DBL_1640,10,4.443276,0.046191,0.010396,0.564739,0.009568,0.016942,452288
L,EXP_DBL_1582,10,4.430552,0.046018,0.010387,0.568437,0.013165,0.023160,452288
S,EXP_DBL_1623,10,4.118828,0.042638,0.010352,0.563462,0.022567,0.040051,452256
L,EXP_DBL_1590,10,4.171389,0.043081,0.010328,0.564094,0.014300,0.025350,452336
L,EXP_DBL_1646,10,4.463331,0.045670,0.010232,0.563553,0.011573,0.020536,452288
L,EXP_DBL_1585,10,4.389702,0.044872,0.010222,0.563455,0.002092,0.003713,452288
B,EXP_DBL_1569,10,4.492961,0.045819,0.010198,0.552846,0.012780,0.023117,452288
S,EXP_DBL_1644,10,4.132967,0.042085,0.010183,0.568624,0.012120,0.021315,452288
S,EXP_DBL_1550,10,4.088349,0.041582,0.010171,0.557022,0.006258,0.011235,452288
