Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
serde,EXP_DBL_1571,10,11.653430,11.643200,0.065875,15.612889,15.612889,0.000000,627816.000000,627816
serde,EXP_DBL_1572,10,11.642140,11.620750,0.067300,15.422674,15.422674,0.000000,627816.000000,627816
serde,EXP_DBL_1573,10,11.651700,11.638450,0.103750,15.390012,15.390012,0.000000,627816.000000,627816
serde,EXP_DBL_1574,10,11.621350,11.596950,0.091525,15.533593,15.533593,0.000000,629928.000000,629928
serde,EXP_DBL_1575,10,11.663650,11.663300,0.065450,15.243727,15.243727,0.000000,627816.000000,627816
serde,EXP_DBL_1576,10,11.512070,11.504800,0.053750,15.363927,15.363927,0.000000,628456.000000,628456
serde,EXP_DBL_1577,10,11.649240,11.644100,0.084025,15.740781,15.740781,0.000000,627816.000000,627816
serde,EXP_DBL_1578,10,11.646390,11.640650,0.100175,15.687894,15.687894,0.000000,627824.000000,627824
serde,EXP_DBL_1579,10,11.614460,11.592750,0.041025,15.583808,15.583808,0.000000,627856.000000,627856
serde,EXP_DBL_1580,10,11.650050,11.629000,0.117475,15.433495,15.433495,0.000000,627824.000000,627824
serde,EXP_DBL_1581,10,11.674870,11.633350,0.109300,15.463451,15.463451,0.000000,627824.000000,627824
serde,EXP_DBL_1582,10,11.617760,11.614650,0.043175,15.397189,15.397189,0.000000,627824.000000,627824
serde,EXP_DBL_1583,10,11.632070,11.624250,0.051725,15.508683,15.508683,0.000000,627824.000000,627824
serde,EXP_DBL_1584,10,11.640760,11.615500,0.045425,15.566298,15.566298,0.000000,627824.000000,627824
serde,EXP_DBL_1585,10,11.898020,11.645050,0.080375,15.650673,15.650673,0.000000,627824.000000,627824
serde,EXP_DBL_1586,10,11.433370,11.409350,0.028950,15.286551,15.286551,0.000000,626304.000000,626304
serde,EXP_DBL_1587,10,11.512760,11.512050,0.021275,15.312429,15.312429,0.000000,626800.000000,626800
serde,EXP_DBL_1588,10,11.523760,11.506000,0.067375,15.492317,15.492317,0.000000,626288.000000,626288
serde,EXP_DBL_1589,10,11.699640,11.666550,0.156300,15.785018,15.785018,0.000000,627824.000000,627824
serde,EXP_DBL_1590,10,11.550360,11.507050,0.101750,15.095965,15.095965,0.000000,626432.000000,626432
serde,EXP_DBL_1591,10,11.544580,11.497200,0.070250,15.494216,15.494216,0.000000,627712.000000,627712
serde,EXP_DBL_1592,10,11.687110,11.654850,0.110125,15.736833,15.736833,0.000000,627824.000000,627824
serde,EXP_DBL_1593,10,11.683970,11.656400,0.155975,15.771859,15.771859,0.000000,627808.000000,627808
serde,EXP_DBL_1594,10,11.744590,11.722800,0.137500,15.396920,15.396920,0.000000,623472.000000,623472
serde,EXP_DBL_1595,10,11.628150,11.601700,0.287925,15.584265,15.584265,0.000000,628528.000000,628528
serde,EXP_DBL_1596,10,11.718840,11.699050,0.250150,15.587442,15.587442,0.000000,627824.000000,627824
serde,EXP_DBL_1597,10,11.637490,11.603250,0.014250,15.668503,15.668503,0.000000,627824.000000,627824
serde,EXP_DBL_1598,10,11.676600,11.665650,0.053075,15.685064,15.685064,0.000000,627824.000000,627824
serde,EXP_DBL_1599,10,11.685140,11.683250,0.103875,15.692097,15.692097,0.000000,627824.000000,627824
serde,EXP_DBL_1600,10,11.581930,11.574300,0.185625,15.402019,15.402019,0.000000,627856.000000,627856
serde,EXP_DBL_1601,10,11.668070,11.653750,0.096325,15.563595,15.563595,0.000000,627824.000000,627824
serde,EXP_DBL_1602,10,11.690330,11.678700,0.057025,15.372402,15.372402,0.000000,627824.000000,627824
serde,EXP_DBL_1603,10,11.638470,11.623450,0.077675,15.517473,15.517473,0.000000,627824.000000,627824
serde,EXP_DBL_1604,10,11.631520,11.618500,0.059825,15.446367,15.446367,0.000000,627824.000000,627824
serde,EXP_DBL_1605,10,11.680750,11.646700,0.095325,15.377997,15.377997,0.000000,627824.000000,627824
serde,EXP_DBL_1606,10,11.667850,11.645500,0.061375,15.547690,15.547690,0.000000,627824.000000,627824
serde,EXP_DBL_1607,10,11.713960,11.634500,0.130650,15.641739,15.641739,0.000000,627824.000000,627824
serde,EXP_DBL_1608,10,11.993100,11.646300,0.105150,15.258061,15.258061,0.000000,627824.000000,627824
serde,EXP_DBL_1609,10,11.584370,11.561500,0.064525,15.546002,15.546002,0.000000,627712.000000,627712
serde,EXP_DBL_1610,10,11.654740,11.625750,0.105400,15.384182,15.384182,0.000000,627840.000000,627840
serde,EXP_DBL_1611,10,11.645510,11.616100,0.090700,15.383281,15.383281,0.000000,627824.000000,627824
serde,EXP_DBL_1612,10,11.648380,11.644450,0.067175,15.486506,15.486506,0.000000,627824.000000,627824
serde,EXP_DBL_1613,10,11.641430,11.613250,0.067750,15.450378,15.450378,0.000000,627824.000000,627824
serde,EXP_DBL_1614,10,11.696640,11.658150,0.123775,15.362404,15.362404,0.000000,627824.000000,627824
serde,EXP_DBL_1615,10,11.643080,11.634250,0.069075,15.525335,15.525335,0.000000,627824.000000,627824
serde,EXP_DBL_1616,10,11.638200,11.619100,0.072950,15.342846,15.342846,0.000000,627824.000000,627824
serde,EXP_DBL_1617,10,11.596610,11.591800,0.056800,15.222995,15.222995,0.000000,627808.000000,627808
serde,EXP_DBL_1618,10,11.612350,11.595650,0.059300,15.325620,15.325620,0.000000,627888.000000,627888
serde,EXP_DBL_1619,10,11.626590,11.626800,0.029950,15.584153,15.584153,0.000000,627824.000000,627824
serde,EXP_DBL_1620,10,11.650470,11.639250,0.068400,15.665427,15.665427,0.000000,627824.000000,627824
serde,EXP_DBL_1621,10,11.688610,11.686700,0.063550,15.655722,15.655722,0.000000,627824.000000,627824
serde,EXP_DBL_1622,10,11.619870,11.611400,0.095550,15.675572,15.675572,0.000000,628112.000000,628112
serde,EXP_DBL_1623,10,11.631270,11.636600,0.046250,15.837507,15.837507,0.000000,627824.000000,627824
serde,EXP_DBL_1624,10,11.622500,11.632450,0.066175,15.926375,15.926375,0.000000,627392.000000,627392
serde,EXP_DBL_1625,10,11.682120,11.673400,0.072575,15.818906,15.818906,0.000000,627824.000000,627824
serde,EXP_DBL_1626,10,11.675880,11.672100,0.061525,15.910347,15.910347,0.000000,627824.000000,627824
serde,EXP_DBL_1627,10,11.719860,11.717500,0.070525,15.915362,15.915362,0.000000,627936.000000,627936
serde,EXP_DBL_1628,10,11.611360,11.615550,0.075125,15.931051,15.931051,0.000000,627920.000000,627920
serde,EXP_DBL_1629,10,11.711400,11.711650,0.070075,16.262705,16.262705,0.000000,627824.000000,627824
serde,EXP_DBL_1630,10,11.726260,11.730250,0.084350,15.793636,15.793636,0.000000,627824.000000,627824
serde,EXP_DBL_1631,10,11.596200,11.594650,0.025250,16.473444,16.473444,0.000000,628208.000000,628208
serde,EXP_DBL_1632,10,11.770460,11.760250,0.067925,17.076191,17.076191,0.000000,627824.000000,627824
serde,EXP_DBL_1633,10,11.765460,11.773150,0.049300,16.700522,16.700522,0.000000,627824.000000,627824
serde,EXP_DBL_1634,10,11.779750,11.763300,0.079725,16.602524,16.602524,0.000000,627824.000000,627824
serde,EXP_DBL_1635,10,11.744330,11.731000,0.094375,16.877124,16.877124,0.000000,627824.000000,627824
serde,EXP_DBL_1636,10,11.719890,11.724700,0.029025,16.598696,16.598696,0.000000,627824.000000,627824
serde,EXP_DBL_1637,10,11.760440,11.741250,0.040750,17.282553,17.282553,0.000000,627824.000000,627824
serde,EXP_DBL_1638,10,11.774680,11.790200,0.083650,16.952293,16.952293,0.000000,627824.000000,627824
serde,EXP_DBL_1639,10,11.800880,11.785300,0.077750,16.888906,16.888906,0.000000,627824.000000,627824
serde,EXP_DBL_1640,10,11.739770,11.728650,0.028250,16.592556,16.592556,0.000000,627808.000000,627808
serde,EXP_DBL_1641,10,11.710420,11.700700,0.065525,16.283763,16.283763,0.000000,630960.000000,630960
serde,EXP_DBL_1642,10,11.990390,11.748600,0.091725,16.515307,16.515307,0.000000,627824.000000,627824
serde,EXP_DBL_1643,10,11.794710,11.798250,0.081775,17.012892,17.012892,0.000000,627824.000000,627824
serde,EXP_DBL_1644,10,11.775850,11.782800,0.054675,16.443123,16.443123,0.000000,627824.000000,627824
serde,EXP_DBL_1645,10,11.752400,11.703300,0.104650,16.660586,16.660586,0.000000,627824.000000,627824
serde,EXP_DBL_1646,10,11.765100,11.766500,0.054075,16.975469,16.975469,0.000000,627824.000000,627824
serde,EXP_DBL_1647,10,11.775690,11.754350,0.050525,16.937615,16.937615,0.000000,627824.000000,627824
serde,EXP_DBL_1648,10,11.832650,11.801800,0.134200,16.605999,16.605999,0.000000,627824.000000,627824
serde,EXP_DBL_1649,10,12.060410,12.059650,0.074975,16.599014,16.599014,0.000000,628672.000000,628672
serde,EXP_DBL_1650,10,11.764940,11.781450,0.070775,16.752552,16.752552,0.000000,627824.000000,627824
serde,EXP_DBL_1651,10,11.768040,11.773400,0.052675,16.852848,16.852848,0.000000,627824.000000,627824
serde,EXP_DBL_1652,10,11.764360,11.768300,0.045050,16.586753,16.586753,0.000000,627824.000000,627824
serde,EXP_DBL_1653,10,11.697860,11.696850,0.070025,16.458495,16.458495,0.000000,627776.000000,627776
serde,EXP_DBL_1654,10,11.771520,11.765850,0.074950,16.353442,16.353442,0.000000,627824.000000,627824
serde,EXP_DBL_1655,10,11.761320,11.758600,0.047925,16.588841,16.588841,0.000000,627824.000000,627824
serde,EXP_DBL_1656,10,11.762130,11.765000,0.043125,16.694358,16.694358,0.000000,627824.000000,627824
serde,EXP_DBL_1657,10,11.732890,11.702250,0.080550,16.763927,16.763927,0.000000,629936.000000,629936
serde,EXP_DBL_1658,10,11.870930,11.789700,0.114475,17.111100,17.111100,0.000000,627824.000000,627824
serde,EXP_DBL_1659,10,11.644560,11.652100,0.061175,16.830002,16.830002,0.000000,628464.000000,628464
