ConfigName,Mode,LLVM_Pass,MIR_Pass,n,runtime_med,compile_med,size_med,runtime_delta_pct,compile_delta_pct,size_delta_pct,MIR_BB_Last,MIR_BB_Last_delta,MIR_TermBlocks_Last,MIR_TermBlocks_Last_delta,MIR_Goto_Last,MIR_Goto_Last_delta,MIR_SwitchInt_Last,MIR_SwitchInt_Last_delta,MIR_Locals_Last,MIR_Locals_Last_delta,LLVM_BB,LLVM_BB_delta,LLVM_br,LLVM_br_delta,LLVM_switch,LLVM_switch_delta,LICM_Remarks_Passed,LICM_Remarks_Passed_delta,LICM_Remarks_Missed,LICM_Remarks_Missed_delta,HotLoop_SCCSize,HotLoop_SCCSize_delta,HotLoop_Loads,HotLoop_Loads_delta,FactorConst_InHotLoop,FactorConst_InHotLoop_delta,FactorConst_OutHotLoop,FactorConst_OutHotLoop_delta,FactorConst_Total,FactorConst_Total_delta,FactorConst_Hoisted,FactorConst_Hoisted_delta,licm_pass_rate,factor_hoist_rate
EXP_DBL_1609,mir-dependent,tail-duplicate,UnreachablePropagation,3,3.763429,10.840248,416824.0,-34.51320827472153,5062.293262980442,-0.08054463515198007,9.0,,7.0,,4.0,,2.0,,41.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,8.0,,5.0,,13.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1610,mir-dependent,cgp-ext-ld-promotion,UnreachablePropagation,3,3.784643,10.782108,417240.0,-34.14406704748964,5034.606098414678,0.019177294083805307,9.0,,7.0,,4.0,,2.0,,41.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,8.0,,5.0,,13.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1627,mir-dependent,phi-elim-edge-splitting,UnreachablePropagation,3,3.925226,16.183511,416184.0,-31.697806033633714,7606.837501011957,-0.23396298782242253,9.0,,7.0,,4.0,,2.0,,41.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,8.0,,5.0,,13.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1611,mir-dependent,cgp-store-extract,UnreachablePropagation,3,4.167443,10.694297,417160.0,-27.483028969599353,4992.789146098129,0.0,9.0,,7.0,,4.0,,2.0,,41.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,8.0,,5.0,,13.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1594,mir-dependent,block-placement,UnreachablePropagation,3,4.62138,11.371093,409208.0,-19.584147982234434,5315.089838039135,-1.9062230319301987,9.0,,7.0,,4.0,,2.0,,41.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,8.0,,5.0,,13.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_1590,mir-dependent,lsr,UnreachablePropagation,3,4.748813,11.109469,415944.0,-17.366707895035393,5190.500454785727,-0.29149487007382735,9.0,,7.0,,4.0,,2.0,,41.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,8.0,,5.0,,13.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_0096,mir-dependent,lsr,DataflowConstProp,3,5.262005,10.485934,415944.0,-8.436740671240528,4893.563472372362,-0.29149487007382735,9.0,,7.0,,4.0,,2.0,,41.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,8.0,,5.0,,13.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_0097,mir-dependent,machine-licm,DataflowConstProp,3,5.273966,10.913768,414904.0,-8.22860933255285,5097.304620718228,-0.5407996931632963,9.0,,7.0,,4.0,,2.0,,41.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,8.0,,5.0,,13.0,,0.0,,0.1324396782841823,0.0
EXP_DBL_0017,mir-dependent,block-placement,CopyProp,3,5.511361,11.010964,409208.0,-4.097739075236317,5143.590854759059,-1.9062230319301987,9.0,,7.0,,4.0,,2.0,,42.0,,10.0,,9.0,,0.0,,247.0,,1618.0,,6.0,,9.0,,8.0,,5.0,,13.0,,0.0,,0.1324396782841823,0.0
