Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
quinn,EXP_DBL_0858,10,5.551742,5.523243,0.132270,0.023948,50.824581,50.824581,0.000000,0.000000,89339072.000000,89339072
quinn,EXP_DBL_0833,10,5.482304,5.453901,0.130452,0.023919,50.511438,50.511438,0.000000,0.000000,89339072.000000,89339072
quinn,EXP_DBL_1377,10,5.577153,5.578027,0.133256,0.023889,50.440626,50.440626,0.000000,0.000000,89797976.000000,89797976
quinn,EXP_DBL_0019,10,5.626025,5.641020,0.134340,0.023815,50.493940,50.493940,0.000000,0.000000,90062896.000000,90062896
quinn,EXP_DBL_0467,10,5.592582,5.599716,0.133188,0.023785,49.972921,49.972921,0.000000,0.000000,89651496.000000,89651496
quinn,EXP_DBL_1164,10,5.664139,5.650816,0.134389,0.023782,61.677288,61.677288,0.000000,0.000000,90022920.000000,90022920
quinn,EXP_DBL_0517,10,5.615698,5.617877,0.133510,0.023765,50.496216,50.496216,0.000000,0.000000,89743528.000000,89743528
quinn,EXP_DBL_1145,10,5.610183,5.577848,0.132234,0.023707,58.842052,58.842052,0.000000,0.000000,90214376.000000,90214376
quinn,EXP_DBL_1347,10,5.430792,5.445459,0.129008,0.023691,50.127511,50.127511,0.000000,0.000000,89798640.000000,89798640
quinn,EXP_DBL_1276,10,5.584319,5.579275,0.132097,0.023676,56.533363,56.533363,0.000000,0.000000,90227848.000000,90227848
quinn,EXP_DBL_0161,10,5.586117,5.598651,0.132534,0.023672,48.641457,48.641457,0.000000,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0071,10,5.611264,5.594979,0.132363,0.023657,51.492043,51.492043,0.000000,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0928,10,5.614069,5.606464,0.132609,0.023653,50.434962,50.434962,0.000000,0.000000,89795672.000000,89795672
quinn,EXP_DBL_1094,10,5.584805,5.558206,0.131449,0.023650,58.473070,58.473070,0.000000,0.000000,90215128.000000,90215128
quinn,EXP_ABL_074_disable-complex-addr-modes,10,5.607744,5.607465,0.132472,0.023624,50.108511,50.108511,0.000000,0.000000,89758800.000000,89758800
quinn,EXP_DBL_0182,10,5.585299,5.593585,0.131969,0.023593,47.801678,47.801678,0.000000,0.000000,89505096.000000,89505096
quinn,EXP_DBL_0512,10,5.601703,5.605711,0.132243,0.023591,50.392100,50.392100,0.000000,0.000000,89813656.000000,89813656
quinn,EXP_DBL_0349,10,5.605737,5.604861,0.132034,0.023557,49.467320,49.467320,0.000000,0.000000,87578664.000000,87578664
quinn,EXP_DBL_0243,10,5.508045,5.480526,0.128979,0.023534,50.141772,50.141772,0.000000,0.000000,89490728.000000,89490728
quinn,EXP_DBL_0913,10,5.578511,5.567392,0.130772,0.023489,52.208428,52.208428,0.000000,0.000000,89339072.000000,89339072
quinn,EXP_DBL_0896,10,5.557950,5.550662,0.130301,0.023475,51.515603,51.515603,0.000000,0.000000,89339072.000000,89339072
