Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med
quinn,EXP_ABL_063_disable-nofree-inference,10,5.882059,5.880764,0.078514,51.796550,51.796550,0.000000,89742256.000000,89742256
quinn,EXP_ABL_064_disable-nounwind-inference,10,5.841043,5.828848,0.054896,49.291997,49.291997,0.000000,89799088.000000,89799088
quinn,EXP_ABL_065_disable-ondemand-mds-loading,10,5.822661,5.819346,0.056729,51.298568,51.298568,0.000000,89742872.000000,89742872
quinn,EXP_ABL_066_disable-ra-fsprofile-loader,10,5.861939,5.829387,0.098313,50.507071,50.507071,0.000000,89742872.000000,89742872
quinn,EXP_ABL_067_disable-sample-loader-inlining,10,5.908631,5.890388,0.087223,51.752540,51.752540,0.000000,89742872.000000,89742872
quinn,EXP_ABL_068_disable-thinlto-funcattrs,10,5.819554,5.785132,0.135549,50.308975,50.308975,0.000000,89742872.000000,89742872
quinn,EXP_ABL_069_disable-vp,10,5.838903,5.844030,0.129371,50.306666,50.306666,0.000000,89742872.000000,89742872
quinn,EXP_ABL_070_disable-whole-program-visibility,10,5.899916,5.901343,0.187301,51.527967,51.527967,0.000000,89742872.000000,89742872
quinn,EXP_ABL_071_disable-2addr-hack,10,5.684098,5.673106,0.108209,51.445096,51.445096,0.000000,89742872.000000,89742872
quinn,EXP_ABL_072_disable-cgp,10,5.781261,5.794981,0.097884,48.102266,48.102266,0.000000,89760664.000000,89760664
quinn,EXP_ABL_073_disable-cgp-gc-opts,10,5.619081,5.598675,0.085318,50.570060,50.570060,0.000000,89742872.000000,89742872
quinn,EXP_ABL_074_disable-complex-addr-modes,10,5.607744,5.607465,0.132472,50.108511,50.108511,0.000000,89758800.000000,89758800
quinn,EXP_ABL_075_disable-dfa-sched,10,5.655449,5.644888,0.150998,48.695194,48.695194,0.000000,89742872.000000,89742872
quinn,EXP_ABL_076_disable-i2p-p2i-opt,10,5.563745,5.571797,0.104889,48.276775,48.276775,0.000000,89806424.000000,89806424
quinn,EXP_ABL_077_disable-mr-partial-inlining,10,5.635991,5.614994,0.147394,48.735346,48.735346,0.000000,89742872.000000,89742872
quinn,EXP_ABL_078_disable-partial-inlining,10,5.640547,5.635283,0.113138,50.168286,50.168286,0.000000,89742872.000000,89742872
quinn,EXP_ABL_079_disable-partial-libcall-inlining,10,5.596015,5.610358,0.096431,50.145919,50.145919,0.000000,89742872.000000,89742872
quinn,EXP_ABL_080_disable-peephole,10,5.674775,5.697999,0.087252,48.622398,48.622398,0.000000,90006144.000000,90006144
quinn,EXP_ABL_081_disable-post-ra,10,5.636222,5.628807,0.116110,48.668726,48.668726,0.000000,89742872.000000,89742872
quinn,EXP_ABL_082_disable-spill-fusing,10,5.637296,5.656456,0.112043,51.090073,51.090073,0.000000,90001720.000000,90001720
quinn,EXP_ABL_083_disable-strictnode-mutation,10,5.647178,5.646425,0.117890,49.963967,49.963967,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0001,10,5.560078,5.575649,0.168058,49.885491,49.885491,0.000000,90062360.000000,90062360
quinn,EXP_DBL_0002,10,5.660634,5.656779,0.057477,50.258581,50.258581,0.000000,90062136.000000,90062136
quinn,EXP_DBL_0003,10,5.623645,5.613145,0.046714,50.320389,50.320389,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0004,10,5.630257,5.668315,0.132046,50.671690,50.671690,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0005,10,5.634377,5.622742,0.101677,51.387130,51.387130,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0006,10,5.656434,5.653970,0.051319,50.184294,50.184294,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0007,10,5.618622,5.634505,0.092651,49.013437,49.013437,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0008,10,5.594103,5.584163,0.073332,50.045788,50.045788,0.000000,90068560.000000,90068560
quinn,EXP_DBL_0009,10,5.595894,5.585960,0.080900,50.576619,50.576619,0.000000,89932408.000000,89932408
quinn,EXP_DBL_000_BASELINE,10,5.564863,5.543266,0.097501,50.177438,50.177438,0.000000,89742872.000000,89742872
quinn,EXP_DBL_0010,10,5.622680,5.612197,0.094162,49.652774,49.652774,0.000000,90055688.000000,90055688
quinn,EXP_DBL_0011,10,5.602182,5.578774,0.130305,50.832582,50.832582,0.000000,90062960.000000,90062960
quinn,EXP_DBL_0012,10,5.664529,5.659656,0.093541,49.253529,49.253529,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0013,10,5.554636,5.544001,0.078591,47.071704,47.071704,0.000000,90696712.000000,90696712
quinn,EXP_DBL_0014,10,5.587077,5.598620,0.117314,49.035181,49.035181,0.000000,90133832.000000,90133832
quinn,EXP_DBL_0015,10,5.600025,5.571951,0.088648,50.114581,50.114581,0.000000,90063008.000000,90063008
quinn,EXP_DBL_0016,10,5.602241,5.599423,0.112153,48.592706,48.592706,0.000000,90075576.000000,90075576
quinn,EXP_DBL_0017,10,5.631485,5.587917,0.142171,50.316002,50.316002,0.000000,87825216.000000,87825216
quinn,EXP_DBL_0018,10,5.521922,5.519059,0.053176,51.634512,51.634512,0.000000,90646840.000000,90646840
quinn,EXP_DBL_0019,10,5.626025,5.641020,0.134340,50.493940,50.493940,0.000000,90062896.000000,90062896
quinn,EXP_DBL_0020,10,5.614664,5.586343,0.204263,50.176305,50.176305,0.000000,90051272.000000,90051272
quinn,EXP_DBL_0021,10,5.620595,5.620988,0.079549,50.278131,50.278131,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0022,10,5.582165,5.567982,0.100066,50.176249,50.176249,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0023,10,5.569419,5.582958,0.061743,50.852421,50.852421,0.000000,90103824.000000,90103824
quinn,EXP_DBL_0024,10,5.549684,5.552034,0.060058,48.977291,48.977291,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0025,10,5.601313,5.606028,0.051755,50.542287,50.542287,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0026,10,5.495889,5.490018,0.065716,50.845865,50.845865,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0027,10,5.410892,5.413023,0.115439,50.904791,50.904791,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0028,10,5.412417,5.414334,0.045450,50.227230,50.227230,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0029,10,5.503626,5.507583,0.053999,49.255364,49.255364,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0030,10,5.509543,5.520109,0.043693,48.079895,48.079895,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0031,10,5.529157,5.502251,0.064938,50.084399,50.084399,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0032,10,5.529055,5.553548,0.100193,50.828643,50.828643,0.000000,90032800.000000,90032800
quinn,EXP_DBL_0033,10,5.592246,5.614256,0.103869,50.828348,50.828348,0.000000,90058216.000000,90058216
quinn,EXP_DBL_0034,10,5.555429,5.548405,0.107130,50.291734,50.291734,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0035,10,5.510469,5.503129,0.072563,48.069266,48.069266,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0036,10,5.539728,5.508585,0.112383,48.027977,48.027977,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0037,10,5.537022,5.529451,0.100522,50.099185,50.099185,0.000000,90062328.000000,90062328
quinn,EXP_DBL_0038,10,5.551508,5.552028,0.062137,50.218893,50.218893,0.000000,90063720.000000,90063720
quinn,EXP_DBL_0039,10,5.465482,5.476019,0.067498,50.119756,50.119756,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0040,10,5.771509,5.841853,0.204666,48.153281,48.153281,0.000000,90055752.000000,90055752
quinn,EXP_DBL_0041,10,5.572672,5.562593,0.081309,50.303604,50.303604,0.000000,90056752.000000,90056752
quinn,EXP_DBL_0042,10,5.564767,5.527460,0.110469,50.418397,50.418397,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0043,10,5.558932,5.550934,0.057679,51.047512,51.047512,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0044,10,5.583149,5.557524,0.099942,50.151721,50.151721,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0045,10,5.564119,5.565363,0.088832,49.809401,49.809401,0.000000,90258136.000000,90258136
quinn,EXP_DBL_0046,10,5.550088,5.559840,0.063694,50.039079,50.039079,0.000000,90095376.000000,90095376
quinn,EXP_DBL_0047,10,5.641164,5.624424,0.102096,49.458708,49.458708,0.000000,90320480.000000,90320480
quinn,EXP_DBL_0048,10,5.534542,5.547933,0.116525,49.747569,49.747569,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0049,10,5.472700,5.500238,0.065280,48.184247,48.184247,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0050,10,5.520475,5.516178,0.061696,50.304745,50.304745,0.000000,90012848.000000,90012848
quinn,EXP_DBL_0051,10,5.481189,5.471825,0.058125,50.640909,50.640909,0.000000,90023856.000000,90023856
quinn,EXP_DBL_0052,10,5.545386,5.531434,0.101872,50.858288,50.858288,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0053,10,5.543388,5.557944,0.080337,48.540521,48.540521,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0054,10,5.553350,5.588360,0.118465,48.372864,48.372864,0.000000,90066600.000000,90066600
quinn,EXP_DBL_0055,10,5.524274,5.542201,0.070871,49.966611,49.966611,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0056,10,5.631276,5.605453,0.149788,49.745546,49.745546,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0057,10,5.564888,5.557463,0.080767,51.215400,51.215400,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0058,10,5.559993,5.563007,0.104962,48.646100,48.646100,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0059,10,5.624404,5.608328,0.040217,50.259254,50.259254,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0060,10,5.659709,5.641217,0.109362,49.391649,49.391649,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0061,10,5.653897,5.647964,0.049626,51.020756,51.020756,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0062,10,5.597486,5.612349,0.104028,50.439842,50.439842,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0063,10,5.570218,5.548100,0.081657,50.446041,50.446041,0.000000,90062696.000000,90062696
quinn,EXP_DBL_0064,10,5.663748,5.640444,0.175483,51.713448,51.713448,0.000000,90080952.000000,90080952
quinn,EXP_DBL_0065,10,5.630740,5.606585,0.081064,52.607497,52.607497,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0066,10,5.599514,5.590536,0.105873,51.497798,51.497798,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0067,10,5.560774,5.567547,0.095916,49.377028,49.377028,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0068,10,5.572641,5.559821,0.080409,48.689843,48.689843,0.000000,90062224.000000,90062224
quinn,EXP_DBL_0069,10,5.626668,5.641222,0.070540,50.223149,50.223149,0.000000,90062224.000000,90062224
