Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,compile_mean,compile_med,compile_iqr,size_mean,size_med,alloca_mean,alloca_med,load_mean,load_med,store_mean,store_med,gep_mean,gep_med,phi_mean,phi_med,bb_mean,bb_med
regex-cli,EXP_ABL_012_InstSimplify-after-simplifycfg,10,3.757431,3.761998,0.089059,40.147736,40.074349,0.276236,34541128.000000,34541128,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_012_disable-loop-level-heuristics,10,3.750511,3.758052,0.105195,40.552171,40.507940,0.292008,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_013_InstSimplify-before-inline,10,3.753599,3.742514,0.052382,40.146570,40.207977,0.352265,34533336.000000,34533336,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_013_disable-lsr,10,3.780407,3.762875,0.091442,39.978404,39.784468,0.483151,34579216.000000,34579216,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_014_JumpThreading,10,3.884688,3.879126,0.132583,40.577572,40.650450,0.292306,34313032.000000,34313032,4618.000000,4618,12154.000000,12154,11651.000000,11651,17011.000000,17011,5876.000000,5876,1135.000000,1135
regex-cli,EXP_ABL_014_disable-machine-licm,10,3.825729,3.825637,0.027755,40.212638,40.263310,0.261276,34560232.000000,34560232,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_015_MatchBranchSimplification,10,3.779746,3.788965,0.066068,41.507236,40.426186,0.456746,34528624.000000,34528624,4626.000000,4626,12363.000000,12363,11940.000000,11940,17098.000000,17098,5951.000000,5951,1131.000000,1131
regex-cli,EXP_ABL_015_disable-postra-machine-licm,10,3.775261,3.781339,0.090242,40.515149,40.471652,0.402335,34529384.000000,34529384,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_016_ReferencePropagation,10,3.791498,3.800274,0.036293,40.737258,40.626581,0.544213,34463808.000000,34463808,4630.000000,4630,12348.000000,12348,11939.000000,11939,17100.000000,17100,5934.000000,5934,1131.000000,1131
regex-cli,EXP_ABL_016_disable-preheader-prot,10,3.800353,3.778694,0.096413,40.597928,40.695279,0.410784,34516416.000000,34516416,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_017_ScalarReplacementOfAggregates,10,3.778401,3.814200,0.098798,40.370347,40.340885,0.295419,34518944.000000,34518944,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_017_disable-block-placement,10,3.786669,3.769388,0.096358,40.266918,40.238040,0.266852,33675944.000000,33675944,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_018_SingleUseConsts,10,3.766013,3.754976,0.081916,40.574103,40.558687,0.316743,34521400.000000,34521400,4622.000000,4622,12278.000000,12278,11867.000000,11867,16992.000000,16992,5916.000000,5916,1131.000000,1131
regex-cli,EXP_ABL_018_disable-branch-fold,10,3.751259,3.747549,0.038896,40.607360,40.636589,0.284720,34863400.000000,34863400,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_019_UnreachableEnumBranching,10,3.763740,3.733121,0.091641,40.774256,40.814563,0.364024,34505240.000000,34505240,4621.000000,4621,12289.000000,12289,11881.000000,11881,17009.000000,17009,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_019_disable-cgp-branch-opts,10,3.747838,3.744144,0.089847,40.754148,40.686331,0.477895,34529488.000000,34529488,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_020_UnreachablePropagation,10,3.743884,3.743870,0.083095,40.736522,40.570138,0.498991,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_020_disable-cgp-select2branch,10,3.773793,3.770838,0.039155,41.037039,41.013743,0.231294,34516280.000000,34516280,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_021_disable-chr,10,3.759146,3.768728,0.103136,40.842374,41.008255,0.301651,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_022_disable-early-ifcvt,10,3.723547,3.692818,0.092062,40.783044,40.740289,0.862791,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_023_disable-early-taildup,10,3.736921,3.725655,0.023247,40.890344,40.839212,0.345945,34527568.000000,34527568,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_024_disable-ifcvt-diamond,10,3.715582,3.696352,0.067381,41.088939,41.111528,0.375762,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_025_disable-ifcvt-forked-diamond,10,3.745985,3.734292,0.038749,40.850456,40.865283,0.700598,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_026_disable-ifcvt-simple,10,3.711654,3.698707,0.038565,40.767144,40.883571,0.409934,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
regex-cli,EXP_ABL_027_disable-ifcvt-simple-false,10,3.736457,3.719280,0.076902,40.736730,40.689948,0.613035,34529072.000000,34529072,4618.000000,4618,12288.000000,12288,11873.000000,11873,17003.000000,17003,5922.000000,5922,1131.000000,1131
