Variant,ConfigName,n,runtime_mean,runtime_med,runtime_iqr,runtime_iqr_ratio,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
regex-cli,EXP_DBL_1648,10,3.800489,3.799713,0.104200,0.027423,40.674231,40.667327,0.401623,0.009876,34529072.000000,34529072
regex-cli,EXP_ABL_008_ForceInline,10,3.774904,3.797995,0.104152,0.027423,40.586756,40.527394,0.234367,0.005783,34529072.000000,34529072
regex-cli,EXP_DBL_0149,10,3.760502,3.735957,0.102445,0.027421,41.148420,41.073666,0.504215,0.012276,34529072.000000,34529072
regex-cli,EXP_DBL_1565,10,3.817194,3.829883,0.104937,0.027400,40.681013,40.620632,0.660073,0.016250,34505240.000000,34505240
regex-cli,EXP_DBL_0776,10,3.769811,3.768018,0.103157,0.027377,40.530685,40.560209,0.397459,0.009799,34529072.000000,34529072
regex-cli,EXP_ABL_021_disable-chr,10,3.759146,3.768728,0.103136,0.027366,40.842374,41.008255,0.301651,0.007356,34529072.000000,34529072
regex-cli,EXP_DBL_0574,10,3.827492,3.809192,0.104228,0.027362,41.088041,41.127644,0.470518,0.011440,34545584.000000,34545584
regex-cli,EXP_DBL_1533,10,3.791335,3.812242,0.104234,0.027342,41.451534,41.335941,0.975701,0.023604,34505240.000000,34505240
regex-cli,EXP_DBL_0478,10,3.754522,3.775352,0.103225,0.027342,40.361315,40.417061,0.277135,0.006857,34528976.000000,34528976
regex-cli,EXP_DBL_1655,10,3.749192,3.731085,0.101903,0.027312,41.041327,40.945682,0.359870,0.008789,34529072.000000,34529072
regex-cli,EXP_DBL_1468,10,3.839059,3.854801,0.105265,0.027308,44.767998,44.769313,0.240072,0.005362,34521400.000000,34521400
regex-cli,EXP_ABL_082_disable-spill-fusing,10,3.786111,3.798561,0.103603,0.027274,41.129854,41.153019,0.440986,0.010716,34640816.000000,34640816
regex-cli,EXP_DBL_1316,10,3.827660,3.848716,0.104931,0.027264,40.586546,40.540531,0.558499,0.013776,34463808.000000,34463808
regex-cli,EXP_DBL_1505,10,3.806218,3.826507,0.104229,0.027239,40.669420,40.643012,0.664038,0.016338,34511408.000000,34511408
regex-cli,EXP_DBL_0725,10,3.791927,3.782674,0.103029,0.027237,41.552896,41.494374,0.173860,0.004190,34537040.000000,34537040
regex-cli,EXP_DBL_0355,10,3.814309,3.808068,0.103698,0.027231,41.017944,41.065889,0.338053,0.008232,34508432.000000,34508432
