Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med
A,EXP_ABL_040_disable-constant-hoisting,3,1.849127,0.763695,449952,17,65,31,54,71,13
A,EXP_ABL_041_disable-copyprop,3,3.588960,0.972394,449968,17,65,31,54,71,13
A,EXP_ABL_042_disable-demotion,3,3.482219,0.974816,449968,17,65,31,54,71,13
A,EXP_ABL_043_disable-gep-const-evaluation,3,3.538415,0.978160,449968,17,65,31,54,71,13
A,EXP_ABL_044_disable-icp,3,4.389145,1.524251,449968,17,65,31,54,71,13
A,EXP_ABL_045_disable-machine-cse,3,3.591249,1.039701,449984,17,65,31,54,71,13
A,EXP_ABL_046_disable-machine-dce,3,3.430702,1.294738,450000,17,65,31,54,71,13
A,EXP_ABL_047_disable-machine-sink,3,4.292940,1.534041,449968,17,65,31,54,71,13
A,EXP_ABL_048_disable-mergeicmps,3,3.556422,1.053395,449968,17,65,31,54,71,13
A,EXP_ABL_049_disable-non-allocatable-phys-copy-opt,3,3.519312,1.095183,449968,17,65,31,54,71,13
A,EXP_ABL_050_disable-phi-elim-edge-splitting,3,3.455025,1.104063,449952,17,65,31,54,71,13
A,EXP_ABL_051_disable-postra-machine-sink,3,3.461039,1.126549,449968,17,65,31,54,71,13
A,EXP_ABL_052_disable-preinline,3,3.460235,1.011829,449968,17,65,31,54,71,13
A,EXP_ABL_053_disable-select-optimize,3,3.338925,0.951755,449968,17,65,31,54,71,13
A,EXP_ABL_054_disable-ssc,3,3.431636,0.944925,449968,17,65,31,54,71,13
A,EXP_ABL_055_disable-type-promotion,3,3.519756,0.984709,449968,17,65,31,54,71,13
A,EXP_ABL_056_disable-auto-upgrade-debug-info,3,3.403518,0.948238,449968,17,65,31,54,71,13
A,EXP_ABL_057_disable-bitcode-version-upgrade,3,3.393967,1.216400,449968,17,65,31,54,71,13
A,EXP_ABL_058_disable-cfi-fixup,3,3.407016,0.926855,449968,17,65,31,54,71,13
A,EXP_ABL_059_disable-cgdata-for-merging,3,3.498220,0.901046,449968,17,65,31,54,71,13
A,EXP_ABL_060_disable-global-outlining,3,3.406261,0.932642,449968,17,65,31,54,71,13
A,EXP_ABL_061_disable-last-run-tracking,3,3.455835,0.913279,449968,17,65,31,54,71,13
A,EXP_ABL_062_disable-layout-fsprofile-loader,3,3.274754,0.887731,449968,17,65,31,54,71,13
A,EXP_ABL_063_disable-nofree-inference,3,3.306001,0.989851,449968,17,65,31,54,71,13
A,EXP_ABL_064_disable-nounwind-inference,3,3.444457,1.090487,450000,17,65,31,54,71,13
A,EXP_ABL_065_disable-ondemand-mds-loading,3,4.518052,0.981000,449968,17,65,31,54,71,13
A,EXP_ABL_066_disable-ra-fsprofile-loader,3,3.570504,0.911986,449968,17,65,31,54,71,13
A,EXP_ABL_067_disable-sample-loader-inlining,3,3.906607,0.978895,449968,17,65,31,54,71,13
A,EXP_ABL_068_disable-thinlto-funcattrs,3,3.341721,0.907936,449968,17,65,31,54,71,13
A,EXP_ABL_069_disable-vp,3,3.391618,1.038332,449968,17,65,31,54,71,13
A,EXP_ABL_070_disable-whole-program-visibility,3,3.280797,0.862746,449968,17,65,31,54,71,13
A,EXP_ABL_071_disable-2addr-hack,3,3.589614,1.460873,449968,17,65,31,54,71,13
A,EXP_ABL_072_disable-cgp,3,2.125512,0.789916,449984,17,65,31,54,71,13
A,EXP_ABL_073_disable-cgp-gc-opts,3,4.455708,1.535282,449968,17,65,31,54,71,13
A,EXP_ABL_074_disable-complex-addr-modes,3,4.718761,1.161562,449968,17,65,31,54,71,13
A,EXP_ABL_075_disable-dfa-sched,3,3.451372,0.962363,449968,17,65,31,54,71,13
A,EXP_ABL_076_disable-i2p-p2i-opt,3,3.764375,0.921822,449968,17,65,31,54,71,13
A,EXP_ABL_077_disable-mr-partial-inlining,3,3.540640,1.537489,449968,17,65,31,54,71,13
A,EXP_ABL_078_disable-partial-inlining,3,4.821308,1.432430,449968,17,65,31,54,71,13
A,EXP_ABL_079_disable-partial-libcall-inlining,3,3.270527,0.917928,449968,17,65,31,54,71,13
A,EXP_ABL_080_disable-peephole,3,3.640141,0.902385,450144,17,65,31,54,71,13
A,EXP_ABL_081_disable-post-ra,3,3.226181,0.922096,449968,17,65,31,54,71,13
A,EXP_ABL_082_disable-spill-fusing,3,4.042925,1.276971,449984,17,65,31,54,71,13
A,EXP_ABL_083_disable-strictnode-mutation,3,3.175402,0.997963,449968,17,65,31,54,71,13
A,EXP_DBL_0001,3,3.433006,0.952228,449968,17,65,31,54,71,13
A,EXP_DBL_0002,3,3.383109,0.918727,449968,17,65,31,54,71,13
A,EXP_DBL_0003,3,4.376934,0.890195,449968,17,65,31,54,71,13
A,EXP_DBL_0004,3,3.306237,0.883654,449968,17,65,31,54,71,13
A,EXP_DBL_0005,3,4.788950,1.286452,449968,17,65,31,54,71,13
A,EXP_DBL_0006,3,3.411281,0.961475,449968,17,65,31,54,71,13
A,EXP_DBL_0007,3,3.406992,1.620201,449968,17,65,31,54,71,13
A,EXP_DBL_0008,3,3.774832,0.955941,449968,17,65,31,54,71,13
A,EXP_DBL_0009,3,3.391192,0.976920,449968,17,65,31,54,71,13
A,EXP_DBL_000_BASELINE,3,4.435814,0.974368,449968,17,65,31,54,71,13
A,EXP_DBL_0010,3,4.301871,1.555246,449968,17,65,31,54,71,13
A,EXP_DBL_0011,3,3.292988,0.958495,449968,17,65,31,54,71,13
A,EXP_DBL_0012,3,3.292614,0.916251,449968,17,65,31,54,71,13
A,EXP_DBL_0013,3,4.307230,1.576953,449984,17,65,31,54,71,13
A,EXP_DBL_0014,3,3.805294,1.438005,449888,17,65,31,54,71,13
A,EXP_DBL_0015,3,3.813867,1.548172,449968,17,65,31,54,71,13
A,EXP_DBL_0016,3,3.280049,0.977902,449968,17,65,31,54,71,13
A,EXP_DBL_0017,3,3.322057,0.945731,449856,17,65,31,54,71,13
A,EXP_DBL_0018,3,3.132303,0.848723,449952,17,65,31,54,71,13
A,EXP_DBL_0019,3,2.183232,0.784615,449968,17,65,31,54,71,13
A,EXP_DBL_0020,3,4.532173,1.506027,449968,17,65,31,54,71,13
A,EXP_DBL_0021,3,3.262987,1.011578,449968,17,65,31,54,71,13
A,EXP_DBL_0022,3,3.213666,0.890790,449968,17,65,31,54,71,13
A,EXP_DBL_0023,3,4.611821,1.522857,449968,17,65,31,54,71,13
A,EXP_DBL_0024,3,4.430346,1.482274,449968,17,65,31,54,71,13
A,EXP_DBL_0025,3,4.478689,1.008174,449968,17,65,31,54,71,13
A,EXP_DBL_0026,3,3.347891,0.896910,449968,17,65,31,54,71,13
A,EXP_DBL_0027,3,3.262591,1.004436,449968,17,65,31,54,71,13
A,EXP_DBL_0028,3,3.258547,0.892448,449968,17,65,31,54,71,13
A,EXP_DBL_0029,3,4.690623,1.126524,449968,17,65,31,54,71,13
A,EXP_DBL_0030,3,4.488121,1.510150,449968,17,65,31,54,71,13
A,EXP_DBL_0031,3,4.092832,1.507062,449968,17,65,31,54,71,13
A,EXP_DBL_0032,3,3.745487,0.969496,449968,17,65,31,54,71,13
A,EXP_DBL_0033,3,4.579117,1.510277,449968,17,65,31,54,71,13
A,EXP_DBL_0034,3,4.739463,0.977602,449968,17,65,31,54,71,13
A,EXP_DBL_0035,3,3.457722,0.973962,449968,17,65,31,54,71,13
A,EXP_DBL_0036,3,4.502956,1.461517,449968,17,65,31,54,71,13
A,EXP_DBL_0037,3,3.194981,0.994989,449968,17,65,31,54,71,13
A,EXP_DBL_0038,3,3.353641,0.944792,449968,17,65,31,54,71,13
A,EXP_DBL_0039,3,3.344078,0.968609,449968,17,65,31,54,71,13
A,EXP_DBL_0040,3,3.392961,0.919607,449952,17,65,31,54,71,13
A,EXP_DBL_0041,3,4.551743,1.087476,449968,17,65,31,54,71,13
A,EXP_DBL_0042,3,3.386818,0.941220,449968,17,65,31,54,71,13
A,EXP_DBL_0043,3,4.550991,1.475990,449968,17,65,31,54,71,13
A,EXP_DBL_0044,3,3.390715,0.960727,449968,17,65,31,54,71,13
A,EXP_DBL_0045,3,4.637550,1.236339,449984,17,65,31,54,71,13
A,EXP_DBL_0046,3,3.361207,1.223877,450000,17,65,31,54,71,13
A,EXP_DBL_0047,3,4.626916,1.541193,449968,17,65,31,54,71,13
A,EXP_DBL_0048,3,2.924011,0.919649,449968,17,65,31,54,71,13
A,EXP_DBL_0049,3,3.167093,0.929136,449968,17,65,31,54,71,13
