Variant,ConfigName,n,wall_mean,wall_med,wall_iqr,ns_mean,ns_med,ns_iqr,ns_iqr_ratio,mbps_mean,mbps_med,mbps_iqr,compile_mean,compile_med,compile_iqr,compile_iqr_ratio,size_mean,size_med
tokio,EXP_DBL_1199,10,10.033724,10.028151,0.063360,876.499000,873.680000,5.375000,0.006152,,,,58.614309,58.614309,0.000000,0.000000,4037432.000000,4037432
tokio,EXP_DBL_0096,10,10.028588,10.015307,0.036731,878.038000,878.225000,5.400000,0.006149,,,,57.108727,57.108727,0.000000,0.000000,4034136.000000,4034136
tokio,EXP_DBL_0914,10,10.270204,10.250689,0.038742,882.787000,880.855000,5.377500,0.006105,,,,62.326045,62.326045,0.000000,0.000000,4046376.000000,4046376
tokio,EXP_DBL_1283,10,10.054940,10.054155,0.024810,879.316000,876.655000,5.320000,0.006069,,,,61.183036,61.183036,0.000000,0.000000,4050472.000000,4050472
tokio,EXP_DBL_0023,10,10.058168,10.044684,0.067160,878.443000,876.310000,5.317500,0.006068,,,,59.893302,59.893302,0.000000,0.000000,4041696.000000,4041696
tokio,EXP_DBL_1596,10,10.102339,10.115384,0.046290,882.959000,882.750000,5.327500,0.006035,,,,60.930183,60.930183,0.000000,0.000000,4041384.000000,4041384
tokio,EXP_ABL_041_disable-copyprop,10,10.077061,10.084728,0.055827,879.739000,877.715000,5.280000,0.006016,,,,59.290948,59.290948,0.000000,0.000000,4043736.000000,4043736
tokio,EXP_DBL_0011,10,10.198014,10.076176,0.071298,882.652000,880.225000,5.292500,0.006013,,,,59.101114,59.101114,0.000000,0.000000,4038512.000000,4038512
tokio,EXP_DBL_0850,10,9.802186,9.459397,1.015909,961.850000,951.545000,5.715000,0.006006,,,,61.166910,61.166910,0.000000,0.000000,4107928.000000,4107928
tokio,EXP_DBL_0547,10,10.048930,10.044206,0.035018,877.156000,874.740000,5.195000,0.005939,,,,59.258176,59.258176,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_0762,10,9.969505,10.058027,0.050057,879.191000,876.285000,5.202500,0.005937,,,,58.502928,58.502928,0.000000,0.000000,4041368.000000,4041368
tokio,EXP_DBL_0972,10,10.140842,10.137833,0.078437,883.639000,881.580000,5.205000,0.005904,,,,58.301471,58.301471,0.000000,0.000000,4046360.000000,4046360
tokio,EXP_DBL_0976,10,10.134414,10.109841,0.033703,879.653000,879.080000,5.142500,0.005850,,,,58.226515,58.226515,0.000000,0.000000,4046336.000000,4046336
